scenario_point,SGCT
"scenario_label=clustered,ber=0.0",41822.7000
"scenario_label=clustered,ber=0.0001",41817.0200
"scenario_label=clustered,ber=0.001",41794.5800
"scenario_label=clustered,ber=1e-05",41836.1800
"scenario_label=dispersed,ber=0.0",55536.0000
"scenario_label=dispersed,ber=0.0001",39160.8600
"scenario_label=dispersed,ber=0.001",44666.8000
"scenario_label=dispersed,ber=1e-05",43141.1200
"scenario_label=prefix80,ber=0.0",55536.0000
"scenario_label=prefix80,ber=0.0001",55536.0000
"scenario_label=prefix80,ber=0.001",55536.0000
"scenario_label=prefix80,ber=1e-05",55536.0000
"scenario_label=random,ber=0.0",65887.5000
"scenario_label=random,ber=0.0001",65878.2000
"scenario_label=random,ber=0.001",65876.1000
"scenario_label=random,ber=1e-05",65938.5000
"scenario_label=sequential,ber=0.0",99.0000
"scenario_label=sequential,ber=0.0001",99.0000
"scenario_label=sequential,ber=0.001",99.0000
"scenario_label=sequential,ber=1e-05",99.0000
