scenario_point,SGCT
"scenario_label=clustered,ber=0.0",32939.9400
"scenario_label=clustered,ber=0.0001",32888.6400
"scenario_label=clustered,ber=0.001",33086.0400
"scenario_label=clustered,ber=1e-05",32844.0600
"scenario_label=dispersed,ber=0.0",20000.0000
"scenario_label=dispersed,ber=0.0001",29909.4400
"scenario_label=dispersed,ber=0.001",37742.3200
"scenario_label=dispersed,ber=1e-05",23598.3200
"scenario_label=prefix80,ber=0.0",20000.0000
"scenario_label=prefix80,ber=0.0001",20000.0000
"scenario_label=prefix80,ber=0.001",20000.0000
"scenario_label=prefix80,ber=1e-05",20000.0000
"scenario_label=random,ber=0.0",21416.1800
"scenario_label=random,ber=0.0001",21415.3800
"scenario_label=random,ber=0.001",21413.9600
"scenario_label=random,ber=1e-05",21424.4000
"scenario_label=sequential,ber=0.0",20000.0000
"scenario_label=sequential,ber=0.0001",20000.0000
"scenario_label=sequential,ber=0.001",20000.0000
"scenario_label=sequential,ber=1e-05",20000.0000
