scenario_point,SGCT
"scenario_label=clustered,ber=0.0",9997.0000
"scenario_label=clustered,ber=0.0001",9996.9600
"scenario_label=clustered,ber=0.001",9996.8400
"scenario_label=clustered,ber=1e-05",9996.4400
"scenario_label=dispersed,ber=0.0",10000.0000
"scenario_label=dispersed,ber=0.0001",8745.2800
"scenario_label=dispersed,ber=0.001",7955.5800
"scenario_label=dispersed,ber=1e-05",9409.8000
"scenario_label=prefix80,ber=0.0",10000.0000
"scenario_label=prefix80,ber=0.0001",10000.0000
"scenario_label=prefix80,ber=0.001",10000.0000
"scenario_label=prefix80,ber=1e-05",10000.0000
"scenario_label=random,ber=0.0",10000.0000
"scenario_label=random,ber=0.0001",10000.0000
"scenario_label=random,ber=0.001",10000.0000
"scenario_label=random,ber=1e-05",10000.0000
"scenario_label=sequential,ber=0.0",10000.0000
"scenario_label=sequential,ber=0.0001",10000.0000
"scenario_label=sequential,ber=0.001",10000.0000
"scenario_label=sequential,ber=1e-05",10000.0000
