scenario_point,SGCT
"scenario_label=clustered,ber=0.0",11388.1800
"scenario_label=clustered,ber=0.0001",11387.7800
"scenario_label=clustered,ber=0.001",11386.2200
"scenario_label=clustered,ber=1e-05",11388.7800
"scenario_label=dispersed,ber=0.0",10256.0000
"scenario_label=dispersed,ber=0.0001",9667.3000
"scenario_label=dispersed,ber=0.001",9490.0000
"scenario_label=dispersed,ber=1e-05",10138.5600
"scenario_label=prefix80,ber=0.0",10256.0000
"scenario_label=prefix80,ber=0.0001",10256.0000
"scenario_label=prefix80,ber=0.001",10256.0000
"scenario_label=prefix80,ber=1e-05",10256.0000
"scenario_label=random,ber=0.0",10946.1000
"scenario_label=random,ber=0.0001",10945.4800
"scenario_label=random,ber=0.001",10945.3400
"scenario_label=random,ber=1e-05",10949.5000
"scenario_label=sequential,ber=0.0",10157.0000
"scenario_label=sequential,ber=0.0001",10157.0000
"scenario_label=sequential,ber=0.001",10157.0000
"scenario_label=sequential,ber=1e-05",10157.0000
