scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_protocol_time_ms,16110.655850,83.839367,16255.942000,23.239087,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),throughput_tags_per_sec,620.723660,3.228641,625.618128,0.894934,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),system_efficiency,0.330644,0.001994,0.333803,0.000553,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),collision_slots,9284.680000,56.183896,9385.600000,15.573382,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),idle_slots,10960.420000,161.721616,11250.650000,44.826945,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_energy_uj,8069284.677650,45199.903448,8123636.675444,12528.774029,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_listening_energy_uj,8064905.121760,45211.616795,8119231.864269,12532.020803,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_transmission_energy_uj,4379.555890,170.202873,4616.528925,47.177830,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),total_bits,6047845.340000,341731.386313,6519284.850000,94723.107598,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_tag_bits,514.408986,34.235465,561.596135,9.489587,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_reader_bits,90.375548,0.558884,91.374920,0.154915,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_total_bits,604.784534,34.173139,651.928485,9.472311,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_query_efficiency,1.077082,0.006515,1.086886,0.001806,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),peak_stack_depth,25.580000,1.341489,28.000000,0.371842,50
"scenario_label=clustered,ber=0.0",DQTA(k_max=3),avg_tag_responses,5.782494,0.189838,6.043345,0.052620,50
"scenario_label=clustered,ber=0.0",DRCT,total_protocol_time_ms,23157.086300,134.045605,23367.351125,37.155546,50
"scenario_label=clustered,ber=0.0",DRCT,throughput_tags_per_sec,431.847440,2.500287,435.608180,0.693044,50
"scenario_label=clustered,ber=0.0",DRCT,system_efficiency,0.335633,0.002003,0.338692,0.000555,50
"scenario_label=clustered,ber=0.0",DRCT,collision_slots,14896.740000,88.858707,15043.100000,24.630377,50
"scenario_label=clustered,ber=0.0",DRCT,idle_slots,4898.740000,88.858707,5045.100000,24.630377,50
"scenario_label=clustered,ber=0.0",DRCT,total_energy_uj,11617510.618735,73429.374251,11727704.294300,20353.584121,50
"scenario_label=clustered,ber=0.0",DRCT,energy_per_tag_uj,1161.751062,7.342937,1172.770429,2.035358,50
"scenario_label=clustered,ber=0.0",DRCT,total_reader_tx_energy_uj,3056.353200,19.208541,3086.467700,5.324336,50
"scenario_label=clustered,ber=0.0",DRCT,total_tag_tx_energy_uj,1623.936590,0.540766,1624.870625,0.149893,50
"scenario_label=clustered,ber=0.0",DRCT,total_listening_energy_uj,11612830.328945,73413.404432,11722994.514925,20349.157513,50
"scenario_label=clustered,ber=0.0",DRCT,total_transmission_energy_uj,4680.289790,19.519994,4710.924325,5.410666,50
"scenario_label=clustered,ber=0.0",DRCT,total_bits,4776049.780000,10255.799320,4792262.300000,2842.762536,50
"scenario_label=clustered,ber=0.0",DRCT,avg_tag_bits,324.787318,0.108153,324.974125,0.029979,50
"scenario_label=clustered,ber=0.0",DRCT,avg_reader_bits,152.817660,0.960427,154.323385,0.266217,50
"scenario_label=clustered,ber=0.0",DRCT,avg_total_bits,477.604978,1.025580,479.226230,0.284276,50
"scenario_label=clustered,ber=0.0",DRCT,avg_query_efficiency,0.671311,0.004006,0.677429,0.001111,50
"scenario_label=clustered,ber=0.0",DRCT,peak_stack_depth,13.260000,0.828325,14.550000,0.229600,50
"scenario_label=clustered,ber=0.0",DRCT,avg_tag_responses,75.617252,0.019375,75.651775,0.005371,50
"scenario_label=clustered,ber=0.0",EAQ_CBB,total_protocol_time_ms,26328.782550,541.201789,27332.855812,150.013482,50
"scenario_label=clustered,ber=0.0",EAQ_CBB,throughput_tags_per_sec,379.969365,7.791050,392.796258,2.159569,50
"scenario_label=clustered,ber=0.0",EAQ_CBB,system_efficiency,0.490145,0.015507,0.517395,0.004298,50
"scenario_label=clustered,ber=0.0",EAQ_CBB,collision_slots,10422.240000,648.694216,11589.400000,179.808863,50
