scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",0.3306,0.3356,0.4901,0.5020,0.0617,0.4980,0.3488,0.7821
"scenario_label=clustered,ber=0.0001",0.3300,0.3356,0.4881,0.5002,0.0615,0.4980,0.3484,0.7805
"scenario_label=clustered,ber=0.001",0.3284,0.3356,0.4869,0.4850,0.0615,0.4980,0.3445,0.7667
"scenario_label=clustered,ber=1e-05",0.3303,0.3354,0.4887,0.5010,0.0618,0.4979,0.3488,0.7817
"scenario_label=dispersed,ber=0.0",0.3678,0.1437,0.4331,0.5030,0.0614,0.4990,0.3783,0.9331
"scenario_label=dispersed,ber=0.0001",0.3587,0.1387,0.4399,0.5003,0.0617,0.4990,0.3783,0.8298
"scenario_label=dispersed,ber=0.001",0.3708,0.1490,0.4511,0.4862,0.0617,0.4990,0.3780,0.7465
"scenario_label=dispersed,ber=1e-05",0.3611,0.1484,0.4332,0.5022,0.0620,0.4990,0.3784,0.8577
"scenario_label=prefix80,ber=0.0",0.3679,0.3977,0.5459,0.5012,0.0619,0.4990,0.3782,0.9512
"scenario_label=prefix80,ber=0.0001",0.3674,0.3980,0.5462,0.4990,0.0615,0.4990,0.3783,0.9504
"scenario_label=prefix80,ber=0.001",0.3675,0.3974,0.5463,0.4870,0.0620,0.4990,0.3782,0.9438
"scenario_label=prefix80,ber=1e-05",0.3678,0.3978,0.5462,0.5015,0.0619,0.4990,0.3782,0.9511
"scenario_label=random,ber=0.0",0.3305,0.3473,0.5463,0.5023,0.0618,0.4990,0.3543,0.8407
"scenario_label=random,ber=0.0001",0.3296,0.3461,0.5461,0.4989,0.0618,0.4990,0.3522,0.8346
"scenario_label=random,ber=0.001",0.3222,0.3465,0.5462,0.4858,0.0617,0.4990,0.3347,0.7814
"scenario_label=random,ber=1e-05",0.3306,0.3463,0.5464,0.5021,0.0618,0.4990,0.3541,0.8396
"scenario_label=sequential,ber=0.0",0.6359,0.4957,0.5259,0.5014,0.0615,0.4976,0.4285,0.9695
"scenario_label=sequential,ber=0.0001",0.6359,0.4957,0.5251,0.5008,0.0616,0.4976,0.4285,0.9689
"scenario_label=sequential,ber=0.001",0.6359,0.4957,0.5256,0.4869,0.0614,0.4976,0.4285,0.9640
"scenario_label=sequential,ber=1e-05",0.6359,0.4957,0.5257,0.5011,0.0617,0.4976,0.4285,0.9694
