scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",620.7237,431.8474,379.9694,731.5945,125.7955,337.1738,397.7113,983.6557
"scenario_label=clustered,ber=0.0001",619.2851,431.8122,379.0553,727.0938,125.5689,337.1869,397.5675,981.8771
"scenario_label=clustered,ber=0.001",609.1129,431.8155,378.1162,698.1611,125.5841,337.1651,393.6984,965.7683
"scenario_label=clustered,ber=1e-05",620.4947,431.6200,379.1935,729.7719,126.0275,337.1981,397.2178,983.0519
"scenario_label=dispersed,ber=0.0",424.5238,177.1299,305.4625,731.8751,125.3778,329.3849,1089.4448,1501.6985
"scenario_label=dispersed,ber=0.0001",418.6970,171.2732,309.8040,726.6647,125.9123,329.3052,1089.5689,1256.9493
"scenario_label=dispersed,ber=0.001",441.1406,183.4582,317.1293,698.4214,125.8229,329.3934,1088.9038,1042.2083
"scenario_label=dispersed,ber=1e-05",425.5237,182.4645,304.9948,731.2665,126.3806,329.2227,1089.9267,1309.7992
"scenario_label=prefix80,ber=0.0",678.3910,458.3700,349.4565,730.0549,126.1859,324.2604,1089.2014,1821.2490
"scenario_label=prefix80,ber=0.0001",677.4901,458.7028,349.6289,726.2266,125.4797,324.2614,1089.6381,1819.4969
"scenario_label=prefix80,ber=0.001",676.5468,458.0473,349.6850,700.0610,126.5048,324.2611,1089.2372,1804.2246
"scenario_label=prefix80,ber=1e-05",677.3532,458.4994,349.5993,730.5784,126.2187,324.2620,1089.5278,1821.0896
"scenario_label=random,ber=0.0",610.8229,657.3688,447.0452,730.9057,126.1061,385.9445,542.2790,889.1022
"scenario_label=random,ber=0.0001",605.6377,655.9568,446.9300,726.2247,125.9957,385.9459,539.5547,881.4216
"scenario_label=random,ber=0.001",568.6704,656.4753,447.0173,698.3104,125.8674,385.9446,516.8917,815.5732
"scenario_label=random,ber=1e-05",610.2378,656.1518,447.0871,730.5857,126.1108,385.9427,541.9166,887.8596
"scenario_label=sequential,ber=0.0",1024.5183,555.7199,334.2319,730.1532,125.5491,323.6114,1396.2892,2169.3574
"scenario_label=sequential,ber=0.0001",1024.5183,555.7199,333.7397,728.5377,125.7220,323.6114,1396.2892,2167.7482
"scenario_label=sequential,ber=0.001",1024.5183,555.7199,334.0524,700.0083,125.3285,323.6114,1396.2892,2152.3209
"scenario_label=sequential,ber=1e-05",1024.5183,555.7199,334.1257,729.9281,125.8810,323.6114,1396.2892,2169.1240
