scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",6047845.3400,4776049.7800,3193076.7200,1720053.7200,7031360.6000,6416035.8600,4398322.1800,1548189.5200
"scenario_label=clustered,ber=0.0001",6150776.9000,4776033.3800,3201329.8400,1730085.2000,7042451.1200,6418676.4600,4397888.4400,1548565.3200
"scenario_label=clustered,ber=0.001",6185148.2400,4775770.7800,3222723.7400,1798552.0400,7041849.9600,6454392.3600,4416659.2800,1568678.1800
"scenario_label=clustered,ber=1e-05",6143966.8000,4777058.8600,3199949.1400,1722160.5600,7019195.8800,6401136.4200,4403782.5200,1546280.5000
"scenario_label=dispersed,ber=0.0",7018041.4600,7924306.2800,3273940.7400,1721618.0000,7053772.4000,4900716.9400,1381233.2600,1170383.2000
"scenario_label=dispersed,ber=0.0001",6949383.3800,8014148.3400,3215972.3600,1731630.4400,7024596.0800,4913647.5000,1379371.6800,1398074.8600
"scenario_label=dispersed,ber=0.001",6701457.0400,7749221.5400,3148907.5400,1799351.4800,7029232.0800,4889184.1800,1383355.3600,1679057.2600
"scenario_label=dispersed,ber=1e-05",6919824.1600,7798385.8800,3272153.2000,1721430.7600,7000176.1200,4857826.0000,1380948.1800,1294164.6600
"scenario_label=prefix80,ber=0.0",1838620.5600,5324815.6400,2419782.0000,1720232.4800,7010125.7600,3231477.8600,1079595.4400,713225.0000
"scenario_label=prefix80,ber=0.0001",1839998.9600,5323677.2800,2418648.9200,1728052.0800,7047056.7200,3231331.3400,1079351.0800,713626.2800
"scenario_label=prefix80,ber=0.001",1841684.0200,5326052.9200,2418216.9400,1798343.8000,6994006.5200,3231424.6400,1079573.0000,717157.1600
"scenario_label=prefix80,ber=1e-05",1840376.3200,5324427.7200,2418685.7200,1721499.9200,7009016.6000,3231329.9800,1079403.2400,713261.4800
"scenario_label=random,ber=0.0",9441128.6000,2054255.0400,2869290.7600,1722797.8000,7014505.6000,10924399.6400,2747423.0800,1654382.4200
"scenario_label=random,ber=0.0001",9452604.5400,2056409.6400,2870416.3600,1729070.4000,7020105.2800,10924229.4800,2751086.6000,1665476.9600
"scenario_label=random,ber=0.001",9533483.2800,2055748.0400,2869445.0200,1798350.6800,7027025.4800,10926730.7600,2783326.0800,1768619.7800
"scenario_label=random,ber=1e-05",9443772.4800,2056763.2800,2868504.0200,1722159.5200,7014917.2400,10928128.2000,2747955.5200,1655992.4200
"scenario_label=sequential,ber=0.0",1329872.0000,5107454.0000,2502211.8600,1721185.4800,7044512.8400,2973813.0000,897960.0000,623370.0000
"scenario_label=sequential,ber=0.0001",1329872.0000,5107454.0000,2506058.3800,1728833.0400,7035269.0400,2973813.0000,897960.0000,623623.9200
"scenario_label=sequential,ber=0.001",1329872.0000,5107454.0000,2503680.1000,1798547.5600,7056350.6800,2973813.0000,897960.0000,626077.4400
"scenario_label=sequential,ber=1e-05",1329872.0000,5107454.0000,2503319.9200,1721653.6400,7026883.4800,2973813.0000,897960.0000,623406.8000
