scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",8069284.6776,11617510.6187,13167448.7266,6838264.2179,46807438.9527,14844270.0142,12600692.4498,5081159.0102
"scenario_label=clustered,ber=0.0001",8095452.5975,11623607.7730,13207967.4999,6878373.5286,46773762.1402,14843604.1587,12601986.3392,5093296.4543
"scenario_label=clustered,ber=0.001",8215763.1113,11612465.2670,13238482.2847,7171184.0392,46827970.6788,14845380.9411,12734369.9656,5169712.4685
"scenario_label=clustered,ber=1e-05",8068751.6263,11628443.4250,13197676.1798,6850886.0524,46619463.6986,14842494.3159,12618791.5719,5084470.6673
"scenario_label=dispersed,ber=0.0",12218733.1456,30367167.4104,16485271.2777,6835136.1871,46977927.4913,15194119.3074,4592994.1593,3378184.8392
"scenario_label=dispersed,ber=0.0001",12228391.2988,30966689.3883,16230560.8299,6887237.0169,46715032.8837,15198131.0237,4594217.0346,4036140.3934
"scenario_label=dispersed,ber=0.001",11724166.6252,29175138.7546,15896862.6244,7154119.3764,46749852.3776,15194139.5040,4595085.9120,4937767.6966
"scenario_label=dispersed,ber=1e-05",12211247.3461,29464581.4755,16514309.4589,6837072.3542,46507037.8104,15201807.6967,4591170.6746,3907749.7932
"scenario_label=prefix80,ber=0.0",7384045.3804,10965466.8792,14313101.8702,6850082.4080,46604743.5609,15432709.1823,4593684.4633,2775194.3267
"scenario_label=prefix80,ber=0.0001",7385509.2585,10958472.1727,14307340.6348,6899105.5196,46909651.3911,15432626.7507,4592750.2779,2778259.8792
"scenario_label=prefix80,ber=0.001",7398257.5290,10974405.4376,14306861.9463,7147328.0500,46431086.0621,15432698.9973,4594634.7926,2800311.5743
"scenario_label=prefix80,ber=1e-05",7391353.8638,10962926.7692,14311888.3696,6845587.6522,46587491.9620,15432613.2767,4593498.0772,2774987.9577
"scenario_label=random,ber=0.0",8207143.9132,7623761.4203,11188403.7514,6829379.9981,46704518.5031,12970539.7692,9224333.4287,5649118.7715
"scenario_label=random,ber=0.0001",8275054.4836,7637298.4997,11191921.1705,6891118.8637,46746057.6743,12970526.5096,9273805.7519,5699095.1074
"scenario_label=random,ber=0.001",8803429.9252,7632907.1980,11189258.8314,7163022.7496,46709661.8224,12970563.4794,9682870.7984,6156991.7734
"scenario_label=random,ber=1e-05",8208771.5434,7637472.7104,11188316.6592,6844462.1996,46625501.6548,12970663.1698,9233231.7697,5657820.5429
"scenario_label=sequential,ber=0.0",4897848.6870,9050979.8500,14964665.7678,6847068.1244,46893478.9296,15468050.9240,3583741.1160,2325443.3620
"scenario_label=sequential,ber=0.0001",4897848.6870,9050979.8500,14990325.1835,6871435.1863,46802583.9056,15468050.9240,3583741.1160,2327096.6793
"scenario_label=sequential,ber=0.001",4897848.6870,9050979.8500,14969522.4892,7151073.6580,46987761.9201,15468050.9240,3583741.1160,2343287.0514
"scenario_label=sequential,ber=1e-05",4897848.6870,9050979.8500,14966912.3376,6856860.3913,46706394.6480,15468050.9240,3583741.1160,2325712.8312
