scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",8064905.1218,11612830.3289,13163192.5061,6837039.1233,46798568.4515,14837873.9842,12595929.8903,5079562.5247
"scenario_label=clustered,ber=0.0001",8091017.6144,11618927.1856,13203702.6753,6877139.5315,46764876.4914,14837206.9824,12597223.1950,5091698.3584
"scenario_label=clustered,ber=0.001",8211280.1328,11607784.7832,13234200.7804,7169896.8132,46819085.5253,14838965.6454,12729571.5491,5168090.7740
"scenario_label=clustered,ber=1e-05",8064323.5395,11623761.2942,13193412.0354,6849658.3171,46610609.2074,14836106.0493,12614022.6056,5082874.5286
"scenario_label=dispersed,ber=0.0",12212766.4014,30356784.8810,16480124.0247,6833909.2853,46969026.1024,15188314.5583,4591401.8829,3377138.5728
"scenario_label=dispersed,ber=0.0001",12222458.4513,30956135.0966,16225492.6605,6886001.0136,46706171.6011,15192317.9839,4592625.7918,4034804.4913
"scenario_label=dispersed,ber=0.001",11718465.0443,29165097.7176,15891897.0707,7152831.1342,46740984.5610,15188340.6769,4593492.1013,4936091.0460
"scenario_label=dispersed,ber=1e-05",12205329.6333,29454455.4772,16509154.3541,6835845.9176,46498209.6208,15196020.6012,4589578.9640,3906498.1213
"scenario_label=prefix80,ber=0.0",7381640.2854,10960496.6416,14308700.2645,6848856.5910,46595901.7063,15427621.9457,4592242.7661,2774397.8767
"scenario_label=prefix80,ber=0.0001",7383101.3910,10953504.2237,14302941.1594,6897873.6927,46900759.5983,15427539.5875,4591309.0694,2777462.7269
"scenario_label=prefix80,ber=0.001",7395846.3217,10969432.9181,14302463.1845,7146041.6686,46422266.0157,15427611.7930,4593193.1423,2799508.2430
"scenario_label=prefix80,ber=1e-05",7388945.2651,10957957.3702,14307488.6186,6844360.9415,46578651.8942,15427526.1280,4592056.7613,2774191.4439
"scenario_label=random,ber=0.0",8201917.3333,7621863.4969,11184776.0151,6828151.4101,46695670.6570,12962796.6085,9221975.4132,5647794.2191
"scenario_label=random,ber=0.0001",8269807.0032,7635396.3868,11188292.4954,6889885.8848,46737202.1708,12962783.4594,9271440.6580,5697759.8406
"scenario_label=random,ber=0.001",8798019.7415,7631006.6287,11185630.9235,7161735.6387,46700797.3524,12962819.1495,9680443.4814,6155555.9825
"scenario_label=random,ber=1e-05",8203541.9666,7635571.1151,11184689.4537,6843234.6535,46616653.2538,12962918.1064,9230872.7580,5656494.0813
"scenario_label=sequential,ber=0.0",4896178.5590,9046525.8630,14960069.8121,6845841.2271,46884589.8020,15463069.7300,3582575.1960,2324736.5260
"scenario_label=sequential,ber=0.0001",4896178.5590,9046525.8630,14985722.4341,6870203.0824,46793707.8512,15463069.7300,3582575.1960,2326389.3851
"scenario_label=sequential,ber=0.001",4896178.5590,9046525.8630,14964923.9909,7149786.8197,46978856.3782,15463069.7300,3582575.1960,2342575.3301
"scenario_label=sequential,ber=1e-05",4896178.5590,9046525.8630,14962314.7908,6855633.2704,46697530.1817,15463069.7300,3582575.1960,2325005.9288
