scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",16110.6558,23157.0863,26328.7825,13669.5529,79526.3138,29658.2968,25144.6376,10166.9538
"scenario_label=clustered,ber=0.0001",16148.0798,23159.1072,26397.7089,13754.1292,79659.6867,29657.1486,25154.2583,10185.2024
"scenario_label=clustered,ber=0.001",16417.6987,23158.8442,26469.4658,14324.2323,79654.1603,29659.0606,25401.2649,10355.0570
"scenario_label=clustered,ber=1e-05",16116.6256,23169.9927,26386.9188,13703.8214,79383.1834,29656.1661,25175.9140,10173.2120
"scenario_label=dispersed,ber=0.0",24393.1945,60645.0880,32953.7227,13664.3682,79797.2847,30360.7990,9179.0219,6693.2146
"scenario_label=dispersed,ber=0.0001",24419.4457,61801.9488,32455.4135,13762.4654,79445.0715,30368.4575,9177.9591,8081.1106
"scenario_label=dispersed,ber=0.001",23405.2007,58266.7528,31784.1015,14319.0089,79501.8801,30360.0960,9183.5860,9799.0241
"scenario_label=dispersed,ber=1e-05",24391.4604,58813.1981,33007.1379,13675.7695,79152.7603,30376.1629,9174.9534,7780.9395
"scenario_label=prefix80,ber=0.0",14741.2159,21816.8067,28616.1253,13698.1839,79272.8088,30839.4131,9181.0732,5490.7375
"scenario_label=prefix80,ber=0.0001",14760.7747,21800.8696,28601.9874,13770.7162,79714.3077,30839.3160,9177.3880,5496.0252
"scenario_label=prefix80,ber=0.001",14781.4629,21832.1405,28597.4331,14285.4419,79080.0476,30839.3411,9180.7737,5542.5519
"scenario_label=prefix80,ber=1e-05",14763.8632,21810.7330,28604.3591,13688.4801,79258.0489,30839.2586,9178.3126,5491.2182
"scenario_label=random,ber=0.0",16371.5320,15212.4188,22369.2261,13682.4435,79325.5296,25910.4621,18440.8503,11247.4581
"scenario_label=random,ber=0.0001",16511.7457,15245.1455,22374.9892,13770.7773,79392.9192,25910.3677,18533.9564,11345.4352
"scenario_label=random,ber=0.001",17585.2382,15233.1800,22370.5704,14321.2193,79473.6041,25910.4535,19346.6493,12261.5768
"scenario_label=random,ber=1e-05",16387.3142,15240.7597,22367.1200,13688.6080,79330.4420,25910.5809,18453.1653,11263.2136
"scenario_label=sequential,ber=0.0",9760.6850,17994.6763,29919.6292,13696.7730,79687.9457,30901.2612,7161.8400,4609.6600
"scenario_label=sequential,ber=0.0001",9760.6850,17994.6763,29963.7206,13726.8215,79574.4399,30901.2612,7161.8400,4613.0824
"scenario_label=sequential,ber=0.001",9760.6850,17994.6763,29935.6244,14286.5271,79831.5914,30901.2612,7161.8400,4646.1524
"scenario_label=sequential,ber=1e-05",9760.6850,17994.6763,29929.0576,13700.9482,79472.8910,30901.2612,7161.8400,4610.1560
