scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",,3056.3532,,,,,,
"scenario_label=clustered,ber=0.0001",,3056.7610,,,,,,
"scenario_label=clustered,ber=0.001",,3056.7979,,,,,,
"scenario_label=clustered,ber=1e-05",,3058.1351,,,,,,
"scenario_label=dispersed,ber=0.0",3276.9647,8560.5017,4680.3769,488.1237,7166.0037,4472.5208,1202.2131,614.7664
"scenario_label=dispersed,ber=0.0001",3277.5411,8729.6234,4613.5776,493.5841,7131.9794,4474.9547,1202.0759,849.1530
"scenario_label=dispersed,ber=0.001",3134.4698,8221.9016,4521.4666,518.0886,7137.6008,4472.3134,1202.8442,1116.1625
"scenario_label=dispersed,ber=1e-05",3277.0676,8302.4071,4692.0376,487.6282,7104.1353,4477.5766,1201.6488,806.1194
"scenario_label=prefix80,ber=0.0",,3077.1064,,,,,,
"scenario_label=prefix80,ber=0.0001",,3074.8138,,,,,,
"scenario_label=prefix80,ber=0.001",,3079.3241,,,,,,
"scenario_label=prefix80,ber=1e-05",,3076.2468,,,,,,
"scenario_label=random,ber=0.0",,1161.0612,,,,,,
"scenario_label=random,ber=0.0001",,1165.2108,,,,,,
"scenario_label=random,ber=0.001",,1163.5937,,,,,,
"scenario_label=random,ber=1e-05",,1164.2849,,,,,,
"scenario_label=sequential,ber=0.0",1340.2560,2533.6800,4459.7998,488.4062,7155.8282,4659.0500,955.9200,526.8680
"scenario_label=sequential,ber=0.0001",1340.2560,2533.6800,4466.2937,490.2498,7144.5598,4659.0500,955.9200,527.3096
"scenario_label=sequential,ber=0.001",1340.2560,2533.6800,4462.2110,516.7527,7169.8220,4659.0500,955.9200,531.5768
"scenario_label=sequential,ber=1e-05",1340.2560,2533.6800,4461.1825,488.3921,7134.6994,4659.0500,955.9200,526.9320
