scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",34887.9400,44693.2200,20423.2400,19922.3400,162267.3000,19930.0200,17450.0000,15571.4000
"scenario_label=clustered,ber=0.0001",34945.6000,44700.4200,20519.0000,19995.1400,162558.2800,19928.8400,17465.4600,15595.9400
"scenario_label=clustered,ber=0.001",35095.1800,44694.9000,20581.9200,20619.2600,162552.3800,19930.8400,17625.4200,15824.6000
"scenario_label=clustered,ber=1e-05",34917.5200,44725.9800,20489.0800,19963.8400,161966.4600,19927.7800,17450.7800,15579.3000
"scenario_label=dispersed,ber=0.0",34930.8400,113193.6600,23256.4400,19882.2200,162863.7200,19956.8800,16185.7000,11232.6200
"scenario_label=dispersed,ber=0.0001",35631.5800,115108.6200,22872.0000,19992.3800,162090.4400,19956.8800,16183.5800,13976.6000
"scenario_label=dispersed,ber=0.001",34374.1400,108432.1800,22374.0000,20569.8400,162218.2000,19956.8800,16194.0000,16600.9800
"scenario_label=dispersed,ber=1e-05",35421.3400,109524.9000,23254.3200,19916.5600,161457.6200,19956.8400,16178.2400,13164.1600
"scenario_label=prefix80,ber=0.0",31464.0800,37720.5000,18317.9200,19955.0000,161720.9600,19956.9200,16189.0200,11027.0000
"scenario_label=prefix80,ber=0.0001",31504.2200,37691.7000,18308.7200,20045.1200,162674.6800,19956.7600,16182.4600,11035.3600
"scenario_label=prefix80,ber=0.001",31494.4800,37746.9000,18305.6800,20538.0600,161304.3400,19956.8400,16188.3600,11108.9200
"scenario_label=prefix80,ber=1e-05",31478.1800,37709.4600,18310.3600,19942.8400,161683.6200,19956.7600,16184.0400,11027.7600
"scenario_label=random,ber=0.0",34892.1400,43197.7800,18306.4000,19909.2000,161836.1600,19956.5200,17224.7400,13789.7800
"scenario_label=random,ber=0.0001",34981.3600,43343.4600,18313.0400,20047.8800,161983.3600,19956.4400,17310.3200,13875.3200
"scenario_label=random,ber=0.001",35674.3200,43290.3000,18308.0000,20588.5400,162150.2200,19956.6800,18055.7800,14691.1600
"scenario_label=random,ber=1e-05",34888.6000,43316.8800,18303.8800,19918.2400,161846.7400,19956.8000,17235.8800,13812.0200
"scenario_label=sequential,ber=0.0",18588.0000,30261.0000,19016.8400,19946.1400,162632.4600,19905.0000,13337.0000,10631.0000
"scenario_label=sequential,ber=0.0001",18588.0000,30261.0000,19044.1600,19969.0000,162376.3600,19905.0000,13337.0000,10636.5200
"scenario_label=sequential,ber=0.001",18588.0000,30261.0000,19026.6000,20540.4000,162950.5000,19905.0000,13337.0000,10689.8600
"scenario_label=sequential,ber=1e-05",18588.0000,30261.0000,19022.7600,19960.9800,162152.2600,19905.0000,13337.0000,10631.8000
