scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",,1623.9366,,,,,,
"scenario_label=clustered,ber=0.0001",,1623.8264,,,,,,
"scenario_label=clustered,ber=0.001",,1623.6859,,,,,,
"scenario_label=clustered,ber=1e-05",,1623.9957,,,,,,
"scenario_label=dispersed,ber=0.0",2689.7796,1822.0277,466.8761,738.7781,1735.3853,1332.2283,390.0634,431.5000
"scenario_label=dispersed,ber=0.0001",2655.3064,1824.6683,454.5918,742.4192,1729.3032,1338.0851,389.1669,486.7492
"scenario_label=dispersed,ber=0.001",2567.1111,1819.1354,444.0871,770.1536,1730.2158,1326.5138,390.9666,560.4880
"scenario_label=dispersed,ber=1e-05",2640.6452,1823.5912,463.0672,738.8083,1724.0542,1309.5188,390.0619,445.5525
"scenario_label=prefix80,ber=0.0",,1893.1312,,,,,,
"scenario_label=prefix80,ber=0.0001",,1893.1352,,,,,,
"scenario_label=prefix80,ber=0.001",,1893.1954,,,,,,
"scenario_label=prefix80,ber=1e-05",,1893.1521,,,,,,
"scenario_label=random,ber=0.0",,736.8622,,,,,,
"scenario_label=random,ber=0.0001",,736.9021,,,,,,
"scenario_label=random,ber=0.001",,736.9756,,,,,,
"scenario_label=random,ber=1e-05",,737.3104,,,,,,
"scenario_label=sequential,ber=0.0",329.8720,1920.3070,136.1560,738.4912,1733.2994,322.1440,210.0000,179.9680
"scenario_label=sequential,ber=0.0001",329.8720,1920.3070,136.4558,741.8541,1731.4946,322.1440,210.0000,179.9846
"scenario_label=sequential,ber=0.001",329.8720,1920.3070,136.2873,770.0856,1735.7198,322.1440,210.0000,180.1445
"scenario_label=sequential,ber=1e-05",329.8720,1920.3070,136.3643,738.7288,1729.7669,322.1440,210.0000,179.9704
