scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,ber=0.0",4379.5559,4680.2898,4256.2205,1225.0946,8870.5012,6396.0300,4762.5595,1596.4855
"scenario_label=clustered,ber=0.0001",4434.9831,4680.5874,4264.8246,1233.9971,8885.6488,6397.1763,4763.1442,1598.0959
"scenario_label=clustered,ber=0.001",4482.9784,4680.4838,4281.5044,1287.2260,8885.1535,6415.2957,4798.4165,1621.6945
"scenario_label=clustered,ber=1e-05",4428.0869,4682.1308,4264.1444,1227.7354,8854.4911,6388.2665,4768.9663,1596.1387
"scenario_label=dispersed,ber=0.0",5966.7442,10382.5294,5147.2530,1226.9018,8901.3890,5804.7491,1592.2764,1046.2664
"scenario_label=dispersed,ber=0.0001",5932.8475,10554.2917,5068.1694,1236.0033,8861.2826,5813.0398,1591.2428,1335.9022
"scenario_label=dispersed,ber=0.001",5701.5809,10041.0369,4965.5537,1288.2422,8867.8166,5798.8271,1593.8108,1676.6505
"scenario_label=dispersed,ber=1e-05",5917.7128,10125.9983,5155.1048,1226.4366,8828.1895,5787.0955,1591.7107,1251.6719
"scenario_label=prefix80,ber=0.0",2405.0950,4970.2376,4401.6057,1225.8170,8841.8546,5087.2366,1441.6973,796.4500
"scenario_label=prefix80,ber=0.0001",2407.8675,4967.9490,4399.4754,1231.8269,8891.7928,5087.1632,1441.2085,797.1522
"scenario_label=prefix80,ber=0.001",2411.2073,4972.5195,4398.7617,1286.3814,8820.0465,5087.2043,1441.6503,803.3313
"scenario_label=prefix80,ber=1e-05",2408.5987,4969.3990,4399.7510,1226.7107,8840.0678,5087.1488,1441.3160,796.5138
"scenario_label=random,ber=0.0",5226.5800,1897.9234,3627.7363,1228.5879,8847.8461,7743.1607,2358.0156,1324.5523
"scenario_label=random,ber=0.0001",5247.4804,1902.1129,3628.6750,1232.9789,8855.5035,7743.0502,2365.0939,1335.2668
"scenario_label=random,ber=0.001",5410.1837,1900.5693,3627.9080,1287.1108,8864.4700,7744.3299,2427.3170,1435.7910
"scenario_label=random,ber=1e-05",5229.5768,1901.5953,3627.2055,1227.5461,8848.4010,7745.0634,2359.0116,1326.4616
"scenario_label=sequential,ber=0.0",1670.1280,4453.9870,4595.9558,1226.8974,8889.1276,4981.1940,1165.9200,706.8360
"scenario_label=sequential,ber=0.0001",1670.1280,4453.9870,4602.7495,1232.1038,8876.0544,4981.1940,1165.9200,707.2942
"scenario_label=sequential,ber=0.001",1670.1280,4453.9870,4598.4983,1286.8383,8905.5418,4981.1940,1165.9200,711.7213
"scenario_label=sequential,ber=1e-05",1670.1280,4453.9870,4597.5468,1227.1209,8864.4663,4981.1940,1165.9200,706.9024
