scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",1.0774,1.6871,0.5355,3.5860
"scenario_label=clustered,energy_profile=baseline",1.0776,1.6793,0.5358,3.5868
"scenario_label=clustered,energy_profile=listen-expensive",1.0773,1.6864,0.5357,3.5931
"scenario_label=clustered,energy_profile=reader-expensive",1.0765,1.6860,0.5359,3.5918
"scenario_label=clustered,energy_profile=tag-expensive",1.0775,1.6747,0.5353,3.5817
"scenario_label=dispersed,energy_profile=balanced-high",0.6972,1.6807,0.6081,13.8307
"scenario_label=dispersed,energy_profile=baseline",0.7117,1.6712,0.6080,14.2830
"scenario_label=dispersed,energy_profile=listen-expensive",0.6813,1.6889,0.6083,14.0250
"scenario_label=dispersed,energy_profile=reader-expensive",0.6828,1.6843,0.6080,13.8323
"scenario_label=dispersed,energy_profile=tag-expensive",0.6799,1.6780,0.6083,13.6348
"scenario_label=prefix80,energy_profile=balanced-high",1.1664,1.6822,0.6083,19.4932
"scenario_label=prefix80,energy_profile=baseline",1.1660,1.6874,0.6082,19.4932
"scenario_label=prefix80,energy_profile=listen-expensive",1.1671,1.6753,0.6083,19.4932
"scenario_label=prefix80,energy_profile=reader-expensive",1.1664,1.6755,0.6082,19.4932
"scenario_label=prefix80,energy_profile=tag-expensive",1.1656,1.6797,0.6082,19.4932
"scenario_label=random,energy_profile=balanced-high",1.0775,1.6772,0.5487,5.2819
"scenario_label=random,energy_profile=baseline",1.0774,1.6854,0.5483,5.2495
"scenario_label=random,energy_profile=listen-expensive",1.0789,1.6806,0.5493,5.2980
"scenario_label=random,energy_profile=reader-expensive",1.0775,1.6748,0.5488,5.2779
"scenario_label=random,energy_profile=tag-expensive",1.0777,1.6744,0.5486,5.2701
