scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",90.3521,24.3378,171.0990,54.8543
"scenario_label=clustered,energy_profile=baseline",90.3339,24.4237,170.9489,54.8461
"scenario_label=clustered,energy_profile=listen-expensive",90.3544,24.4466,170.9745,54.7883
"scenario_label=clustered,energy_profile=reader-expensive",90.4204,24.4037,170.7601,54.7997
"scenario_label=clustered,energy_profile=tag-expensive",90.3373,24.3350,171.0364,54.8965
"scenario_label=dispersed,energy_profile=balanced-high",161.2460,24.4720,60.1222,30.9966
"scenario_label=dispersed,energy_profile=baseline",159.0216,24.4702,60.1290,30.8621
"scenario_label=dispersed,energy_profile=listen-expensive",163.0654,24.4297,60.1160,30.8293
"scenario_label=dispersed,energy_profile=reader-expensive",161.4545,24.4155,60.1377,31.0093
"scenario_label=dispersed,energy_profile=tag-expensive",164.4808,24.4472,60.1113,31.1064
"scenario_label=prefix80,energy_profile=balanced-high",99.2631,24.4551,60.1205,29.3225
"scenario_label=prefix80,energy_profile=baseline",99.2998,24.3613,60.1215,29.3225
"scenario_label=prefix80,energy_profile=listen-expensive",99.1949,24.4219,60.1122,29.3225
"scenario_label=prefix80,energy_profile=reader-expensive",99.2629,24.4654,60.1149,29.3225
"scenario_label=prefix80,energy_profile=tag-expensive",99.3285,24.4916,60.1285,29.3225
"scenario_label=random,energy_profile=balanced-high",33.7624,24.4925,65.6454,33.1515
"scenario_label=random,energy_profile=baseline",33.7678,24.3728,65.6695,33.2184
"scenario_label=random,energy_profile=listen-expensive",33.7149,24.4574,65.5898,33.1140
"scenario_label=random,energy_profile=reader-expensive",33.7623,24.4514,65.6293,33.1584
"scenario_label=random,energy_profile=tag-expensive",33.7535,24.3916,65.6393,33.1719
