scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",517.4664,147.6696,269.1632,100.1331
"scenario_label=clustered,energy_profile=baseline",523.3303,147.7089,269.0407,100.1235
"scenario_label=clustered,energy_profile=listen-expensive",526.2337,147.7854,269.0779,99.9902
"scenario_label=clustered,energy_profile=reader-expensive",524.8607,147.7499,268.8772,99.4957
"scenario_label=clustered,energy_profile=tag-expensive",524.8559,147.5651,269.0031,100.0056
"scenario_label=dispersed,energy_profile=balanced-high",520.6614,147.7736,77.8730,86.2800
"scenario_label=dispersed,energy_profile=baseline",522.3984,147.6934,77.9733,83.8200
"scenario_label=dispersed,energy_profile=listen-expensive",538.9485,147.7911,78.4932,87.0600
"scenario_label=dispersed,energy_profile=reader-expensive",537.5879,147.7407,78.1140,83.9600
"scenario_label=dispersed,energy_profile=tag-expensive",536.8163,147.7234,77.9136,86.3800
"scenario_label=prefix80,energy_profile=balanced-high",84.8153,147.7703,47.8331,42.0000
"scenario_label=prefix80,energy_profile=baseline",84.8124,147.7011,47.8327,42.0000
"scenario_label=prefix80,energy_profile=listen-expensive",84.8129,147.6757,47.8328,42.0000
"scenario_label=prefix80,energy_profile=reader-expensive",84.8088,147.7184,47.8329,42.0000
"scenario_label=prefix80,energy_profile=tag-expensive",84.8182,147.7833,47.8336,42.0000
"scenario_label=random,energy_profile=balanced-high",910.4697,147.7777,209.1232,132.2778
"scenario_label=random,energy_profile=baseline",910.5656,147.7102,209.1270,132.2974
"scenario_label=random,energy_profile=listen-expensive",910.3219,147.7628,209.1191,132.2719
"scenario_label=random,energy_profile=reader-expensive",910.4654,147.6996,209.1225,132.2826
"scenario_label=random,energy_profile=tag-expensive",910.3316,147.6269,209.1222,132.2880
