scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",5.7984,5.3101,39.8216,6.6007
"scenario_label=clustered,energy_profile=baseline",5.8280,5.3168,39.7903,6.5997
"scenario_label=clustered,energy_profile=listen-expensive",5.8447,5.3131,39.7990,6.5886
"scenario_label=clustered,energy_profile=reader-expensive",5.8376,5.3130,39.7486,6.5493
"scenario_label=clustered,energy_profile=tag-expensive",5.8397,5.3172,39.7915,6.5905
"scenario_label=dispersed,energy_profile=balanced-high",9.6463,5.3168,9.3073,5.7200
"scenario_label=dispersed,energy_profile=baseline",9.8417,5.3229,9.3078,5.6600
"scenario_label=dispersed,energy_profile=listen-expensive",9.7255,5.3110,9.3081,5.6600
"scenario_label=dispersed,energy_profile=reader-expensive",9.9242,5.3142,9.3088,5.6000
"scenario_label=dispersed,energy_profile=tag-expensive",10.0256,5.3177,9.3080,5.8200
"scenario_label=prefix80,energy_profile=balanced-high",5.0657,5.3145,9.3080,4.0000
"scenario_label=prefix80,energy_profile=baseline",5.0651,5.3111,9.3074,4.0000
"scenario_label=prefix80,energy_profile=listen-expensive",5.0649,5.3200,9.3073,4.0000
"scenario_label=prefix80,energy_profile=reader-expensive",5.0647,5.3207,9.3074,4.0000
"scenario_label=prefix80,energy_profile=tag-expensive",5.0660,5.3178,9.3082,4.0000
"scenario_label=random,energy_profile=balanced-high",5.1651,5.3200,9.5616,4.2834
"scenario_label=random,energy_profile=baseline",5.1657,5.3127,9.5635,4.2859
"scenario_label=random,energy_profile=listen-expensive",5.1642,5.3175,9.5596,4.2824
"scenario_label=random,energy_profile=reader-expensive",5.1650,5.3199,9.5613,4.2838
"scenario_label=random,energy_profile=tag-expensive",5.1642,5.3197,9.5611,4.2843
