scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",607.8185,172.0074,440.2622,154.9874
"scenario_label=clustered,energy_profile=baseline",613.6642,172.1326,439.9896,154.9696
"scenario_label=clustered,energy_profile=listen-expensive",616.5881,172.2321,440.0524,154.7784
"scenario_label=clustered,energy_profile=reader-expensive",615.2811,172.1536,439.6373,154.2954
"scenario_label=clustered,energy_profile=tag-expensive",615.1932,171.9000,440.0395,154.9022
"scenario_label=dispersed,energy_profile=balanced-high",681.9073,172.2455,137.9952,117.2766
"scenario_label=dispersed,energy_profile=baseline",681.4200,172.1636,138.1023,114.6821
"scenario_label=dispersed,energy_profile=listen-expensive",702.0139,172.2208,138.6092,117.8893
"scenario_label=dispersed,energy_profile=reader-expensive",699.0424,172.1562,138.2517,114.9693
"scenario_label=dispersed,energy_profile=tag-expensive",701.2971,172.1706,138.0249,117.4864
"scenario_label=prefix80,energy_profile=balanced-high",184.0784,172.2254,107.9537,71.3225
"scenario_label=prefix80,energy_profile=baseline",184.1122,172.0623,107.9542,71.3225
"scenario_label=prefix80,energy_profile=listen-expensive",184.0078,172.0976,107.9449,71.3225
"scenario_label=prefix80,energy_profile=reader-expensive",184.0717,172.1838,107.9478,71.3225
"scenario_label=prefix80,energy_profile=tag-expensive",184.1467,172.2749,107.9621,71.3225
"scenario_label=random,energy_profile=balanced-high",944.2320,172.2702,274.7686,165.4293
"scenario_label=random,energy_profile=baseline",944.3334,172.0830,274.7965,165.5158
"scenario_label=random,energy_profile=listen-expensive",944.0368,172.2202,274.7090,165.3859
"scenario_label=random,energy_profile=reader-expensive",944.2277,172.1510,274.7519,165.4410
"scenario_label=random,energy_profile=tag-expensive",944.0851,172.0185,274.7615,165.4599
