scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",9282.2000,5929.6600,18674.8400,2789.6200
"scenario_label=clustered,energy_profile=baseline",9280.6000,5957.5400,18663.6600,2788.9600
"scenario_label=clustered,energy_profile=listen-expensive",9282.8800,5931.9600,18667.8000,2784.0000
"scenario_label=clustered,energy_profile=reader-expensive",9289.6400,5933.9600,18659.0800,2784.9800
"scenario_label=clustered,energy_profile=tag-expensive",9280.8400,5973.0600,18680.6800,2793.1800
"scenario_label=dispersed,energy_profile=balanced-high",14935.4400,5951.4400,16443.8000,739.1200
"scenario_label=dispersed,energy_profile=baseline",14637.0000,5985.0400,16447.3400,718.6600
"scenario_label=dispersed,energy_profile=listen-expensive",15147.5600,5923.1600,16439.2600,728.8600
"scenario_label=dispersed,energy_profile=reader-expensive",14958.6000,5939.0400,16446.6000,739.0000
"scenario_label=dispersed,energy_profile=tag-expensive",15199.8400,5961.9800,16438.9000,744.3200
"scenario_label=prefix80,energy_profile=balanced-high",8574.0000,5946.0800,16438.3400,513.0000
"scenario_label=prefix80,energy_profile=baseline",8577.0400,5928.3000,16442.9600,513.0000
"scenario_label=prefix80,energy_profile=listen-expensive",8568.2000,5970.6800,16438.3000,513.0000
"scenario_label=prefix80,energy_profile=reader-expensive",8573.9200,5970.1400,16442.9200,513.0000
"scenario_label=prefix80,energy_profile=tag-expensive",8579.6400,5956.0200,16442.4400,513.0000
"scenario_label=random,energy_profile=balanced-high",9281.1600,5964.4600,18225.9600,1894.5000
"scenario_label=random,energy_profile=baseline",9281.8000,5934.9000,18238.3200,1906.0800
"scenario_label=random,energy_profile=listen-expensive",9269.3600,5952.4000,18206.9200,1888.2800
"scenario_label=random,energy_profile=reader-expensive",9281.2800,5972.8800,18223.7200,1895.9600
"scenario_label=random,energy_profile=tag-expensive",9279.0400,5975.3000,18229.3200,1898.3200
