scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",1613.5197,1367.1024,2523.4883,1015.7198
"scenario_label=clustered,energy_profile=baseline",807.0104,685.1108,1260.5862,508.5680
"scenario_label=clustered,energy_profile=listen-expensive",1614.2244,1367.8836,2519.6670,1017.7717
"scenario_label=clustered,energy_profile=reader-expensive",806.9546,684.6171,1259.4939,507.8943
"scenario_label=clustered,energy_profile=tag-expensive",807.2880,686.2969,1260.9474,508.4770
"scenario_label=dispersed,energy_profile=balanced-high",2411.1783,1370.0668,918.8501,677.4966
"scenario_label=dispersed,energy_profile=baseline",1185.7579,685.7037,459.5355,333.6371
"scenario_label=dispersed,energy_profile=listen-expensive",2442.4770,1365.8843,918.6009,679.4795
"scenario_label=dispersed,energy_profile=reader-expensive",1208.0388,684.3888,459.7068,338.2991
"scenario_label=dispersed,energy_profile=tag-expensive",1225.3510,684.9180,459.3897,337.3723
"scenario_label=prefix80,energy_profile=balanced-high",1479.0275,1368.6269,918.7111,554.8969
"scenario_label=prefix80,energy_profile=baseline",739.6219,683.6120,459.3531,277.4964
"scenario_label=prefix80,energy_profile=listen-expensive",1478.2513,1372.6329,918.4176,554.9178
"scenario_label=prefix80,energy_profile=reader-expensive",740.1385,685.9549,459.4202,277.4383
"scenario_label=prefix80,energy_profile=tag-expensive",739.9357,685.3894,459.5268,277.5419
"scenario_label=random,energy_profile=balanced-high",1640.9321,1370.1665,1845.9106,1129.8889
"scenario_label=random,energy_profile=baseline",820.7793,683.2821,923.3525,565.3170
"scenario_label=random,energy_profile=listen-expensive",1638.9752,1368.9943,1845.0312,1128.8392
"scenario_label=random,energy_profile=reader-expensive",819.7676,685.3961,923.8114,564.4148
"scenario_label=random,energy_profile=tag-expensive",821.0070,686.4137,922.9049,565.2808
