scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",11003.8000,3980.5400,0.0000,0.0000
"scenario_label=clustered,energy_profile=baseline",11020.1400,3981.6200,0.0000,0.0000
"scenario_label=clustered,energy_profile=listen-expensive",10974.7200,3969.6400,0.0000,0.0000
"scenario_label=clustered,energy_profile=reader-expensive",11019.5000,3955.4600,0.0000,0.0000
"scenario_label=clustered,energy_profile=tag-expensive",10960.6200,4038.7000,0.0000,0.0000
"scenario_label=dispersed,energy_profile=balanced-high",2602.6600,3972.5600,0.0000,0.0000
"scenario_label=dispersed,energy_profile=baseline",3372.1600,4016.8000,0.0000,0.0000
"scenario_label=dispersed,energy_profile=listen-expensive",2568.3600,3954.1800,0.0000,0.0000
"scenario_label=dispersed,energy_profile=reader-expensive",3030.6400,3960.0800,0.0000,0.0000
"scenario_label=dispersed,energy_profile=tag-expensive",2624.6800,3982.4800,0.0000,0.0000
"scenario_label=prefix80,energy_profile=balanced-high",8634.0400,3964.0800,0.0000,0.0000
"scenario_label=prefix80,energy_profile=baseline",8592.2000,3980.9400,0.0000,0.0000
"scenario_label=prefix80,energy_profile=listen-expensive",8632.7800,4007.5800,0.0000,0.0000
"scenario_label=prefix80,energy_profile=reader-expensive",8627.7000,3997.9000,0.0000,0.0000
"scenario_label=prefix80,energy_profile=tag-expensive",8633.1000,3978.9600,0.0000,0.0000
"scenario_label=random,energy_profile=balanced-high",10951.9600,3966.1800,0.0000,0.0000
"scenario_label=random,energy_profile=baseline",11016.7200,3951.7200,0.0000,0.0000
"scenario_label=random,energy_profile=listen-expensive",10974.6000,3959.9800,0.0000,0.0000
"scenario_label=random,energy_profile=reader-expensive",10925.5800,4006.8600,0.0000,0.0000
"scenario_label=random,energy_profile=tag-expensive",10968.6200,4014.8800,0.0000,0.0000
