scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",1.5600
"scenario_label=clustered,energy_profile=baseline",1.5800
"scenario_label=clustered,energy_profile=listen-expensive",1.5800
"scenario_label=clustered,energy_profile=reader-expensive",1.5400
"scenario_label=clustered,energy_profile=tag-expensive",1.4200
"scenario_label=dispersed,energy_profile=balanced-high",0.0000
"scenario_label=dispersed,energy_profile=baseline",0.0000
"scenario_label=dispersed,energy_profile=listen-expensive",0.0000
"scenario_label=dispersed,energy_profile=reader-expensive",0.0000
"scenario_label=dispersed,energy_profile=tag-expensive",0.0000
"scenario_label=prefix80,energy_profile=balanced-high",0.0000
"scenario_label=prefix80,energy_profile=baseline",0.0000
"scenario_label=prefix80,energy_profile=listen-expensive",0.0000
"scenario_label=prefix80,energy_profile=reader-expensive",0.0000
"scenario_label=prefix80,energy_profile=tag-expensive",0.0000
"scenario_label=random,energy_profile=balanced-high",0.0000
"scenario_label=random,energy_profile=baseline",0.0000
"scenario_label=random,energy_profile=listen-expensive",0.0000
"scenario_label=random,energy_profile=reader-expensive",0.0000
"scenario_label=random,energy_profile=tag-expensive",0.0000
