scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"scenario_label=clustered,energy_profile=balanced-high",SGCT,DQTA(k_max=3),total_protocol_time_ms,10170.967500,16109.426750,5938.459250,36.863256,537.046208,0.000000,75.949803,1.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,EMDT,total_protocol_time_ms,10170.967500,13666.472700,3495.505200,25.577230,178.417298,0.000000,25.232016,1.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,NLHQT(n=2),total_protocol_time_ms,10170.967500,25171.076425,15000.108925,59.592640,881.468978,0.000000,124.658538,1.000000,50
"scenario_label=clustered,energy_profile=baseline",SGCT,DQTA(k_max=3),total_protocol_time_ms,10169.983300,16108.099625,5938.116325,36.864164,588.126025,0.000000,83.173580,1.000000,50
"scenario_label=clustered,energy_profile=baseline",SGCT,EMDT,total_protocol_time_ms,10169.983300,13691.879800,3521.896500,25.722520,161.686868,0.000000,22.865976,1.000000,50
"scenario_label=clustered,energy_profile=baseline",SGCT,NLHQT(n=2),total_protocol_time_ms,10169.983300,25151.528600,14981.545300,59.565148,639.863597,0.000000,90.490378,1.000000,50
"scenario_label=clustered,energy_profile=listen-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,10161.827600,16108.755600,5946.928000,36.917364,585.443833,0.000000,82.794261,1.000000,50
"scenario_label=clustered,energy_profile=listen-expensive",SGCT,EMDT,total_protocol_time_ms,10161.827600,13670.012700,3508.185100,25.663364,171.076098,0.000000,24.193814,1.000000,50
"scenario_label=clustered,energy_profile=listen-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,10161.827600,25154.636750,14992.809150,59.602567,680.726244,0.000000,96.269229,1.000000,50
"scenario_label=clustered,energy_profile=reader-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,10163.340975,16121.096425,5957.755450,36.956267,544.617097,0.000000,77.020488,1.000000,50
"scenario_label=clustered,energy_profile=reader-expensive",SGCT,EMDT,total_protocol_time_ms,10163.340975,13667.108950,3503.767975,25.636497,156.527214,0.000000,22.136291,1.000000,50
"scenario_label=clustered,energy_profile=reader-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,10163.340975,25126.891350,14963.550375,59.551936,603.136898,0.000000,85.296438,1.000000,50
"scenario_label=clustered,energy_profile=tag-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,10177.142700,16105.049925,5927.907225,36.807754,529.446243,0.000000,74.875006,1.000000,50
"scenario_label=clustered,energy_profile=tag-expensive",SGCT,EMDT,total_protocol_time_ms,10177.142700,13708.486200,3531.343500,25.760273,171.799966,0.000000,24.296184,1.000000,50
"scenario_label=clustered,energy_profile=tag-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,10177.142700,25163.762150,14986.619450,59.556355,633.368488,0.000000,89.571831,1.000000,50
"scenario_label=dispersed,energy_profile=balanced-high",SGCT,DQTA(k_max=3),total_protocol_time_ms,6715.682900,24068.292800,17352.609900,72.097386,29.856906,0.000000,4.222404,1.000000,50
"scenario_label=dispersed,energy_profile=balanced-high",SGCT,EMDT,total_protocol_time_ms,6715.682900,13686.008300,6970.325400,50.930302,140.504323,0.000000,19.870312,1.000000,50
"scenario_label=dispersed,energy_profile=balanced-high",SGCT,NLHQT(n=2),total_protocol_time_ms,6715.682900,9180.857100,2465.174200,26.851242,48.161476,0.000000,6.811061,1.000000,50
"scenario_label=dispersed,energy_profile=baseline",SGCT,DQTA(k_max=3),total_protocol_time_ms,6612.349950,23670.977625,17058.627675,72.065582,29.199154,0.000000,4.129384,1.000000,50
"scenario_label=dispersed,energy_profile=baseline",SGCT,EMDT,total_protocol_time_ms,6612.349950,13719.989800,7107.639850,51.804994,139.738892,0.000000,19.762064,1.000000,50
"scenario_label=dispersed,energy_profile=baseline",SGCT,NLHQT(n=2),total_protocol_time_ms,6612.349950,9181.798875,2569.448925,27.984156,53.702046,0.000000,7.594616,1.000000,50
"scenario_label=dispersed,energy_profile=listen-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,6735.883200,24396.311950,17660.428750,72.389748,31.718923,0.000000,4.485733,1.000000,50
"scenario_label=dispersed,energy_profile=listen-expensive",SGCT,EMDT,total_protocol_time_ms,6735.883200,13660.332950,6924.449750,50.690197,126.158250,0.000000,17.841471,1.000000,50
"scenario_label=dispersed,energy_profile=listen-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,6735.883200,9179.695125,2443.811925,26.621929,45.851156,0.000000,6.484333,1.000000,50
"scenario_label=dispersed,energy_profile=reader-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,6705.648750,24117.005375,17411.356625,72.195351,38.865546,0.000000,5.496418,1.000000,50
"scenario_label=dispersed,energy_profile=reader-expensive",SGCT,EMDT,total_protocol_time_ms,6705.648750,13674.738800,6969.090050,50.963241,123.607267,0.000000,17.480707,1.000000,50
"scenario_label=dispersed,energy_profile=reader-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,6705.648750,9182.956800,2477.308050,26.977237,48.049833,0.000000,6.795272,1.000000,50
"scenario_label=dispersed,energy_profile=tag-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,6686.546400,24467.948675,17781.402275,72.672223,32.149229,0.000000,4.546588,1.000000,50
"scenario_label=dispersed,energy_profile=tag-expensive",SGCT,EMDT,total_protocol_time_ms,6686.546400,13696.590850,7010.044450,51.180944,144.927170,0.000000,20.495797,1.000000,50
