scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",25.6400,46.2200,20.6200,35.0200
"scenario_label=clustered,energy_profile=baseline",25.3800,46.8800,20.4200,35.1400
"scenario_label=clustered,energy_profile=listen-expensive",25.7000,47.2400,20.2600,35.3000
"scenario_label=clustered,energy_profile=reader-expensive",25.5200,46.8200,20.3400,35.2800
"scenario_label=clustered,energy_profile=tag-expensive",25.4600,47.0600,20.7600,35.1600
"scenario_label=dispersed,energy_profile=balanced-high",17.9800,46.8400,20.9600,256.0000
"scenario_label=dispersed,energy_profile=baseline",17.6200,46.9000,20.9000,256.0000
"scenario_label=dispersed,energy_profile=listen-expensive",17.7400,46.8000,20.9600,256.0000
"scenario_label=dispersed,energy_profile=reader-expensive",17.7400,46.7200,20.9200,256.0000
"scenario_label=dispersed,energy_profile=tag-expensive",17.4800,46.8200,20.8200,256.0000
"scenario_label=prefix80,energy_profile=balanced-high",27.5200,47.1200,21.0400,256.0000
"scenario_label=prefix80,energy_profile=baseline",27.6400,46.6800,20.9800,256.0000
"scenario_label=prefix80,energy_profile=listen-expensive",27.5400,47.0200,21.1400,256.0000
"scenario_label=prefix80,energy_profile=reader-expensive",27.5200,46.9400,21.0000,256.0000
"scenario_label=prefix80,energy_profile=tag-expensive",27.3000,46.6600,21.1200,256.0000
"scenario_label=random,energy_profile=balanced-high",27.5800,47.0400,21.3200,258.1200
"scenario_label=random,energy_profile=baseline",27.2600,46.7000,21.0600,258.3800
"scenario_label=random,energy_profile=listen-expensive",27.3200,46.8000,21.0000,258.0800
"scenario_label=random,energy_profile=reader-expensive",27.4200,46.8600,20.9400,258.4000
"scenario_label=random,energy_profile=tag-expensive",27.5000,46.5200,21.1000,258.6400
