scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",1396.9800
"scenario_label=clustered,energy_profile=baseline",1396.9000
"scenario_label=clustered,energy_profile=listen-expensive",1394.1400
"scenario_label=clustered,energy_profile=reader-expensive",1395.1400
"scenario_label=clustered,energy_profile=tag-expensive",1398.9800
"scenario_label=dispersed,energy_profile=balanced-high",483.1200
"scenario_label=dispersed,energy_profile=baseline",462.6600
"scenario_label=dispersed,energy_profile=listen-expensive",472.8600
"scenario_label=dispersed,energy_profile=reader-expensive",483.0000
"scenario_label=dispersed,energy_profile=tag-expensive",488.3200
"scenario_label=prefix80,energy_profile=balanced-high",257.0000
"scenario_label=prefix80,energy_profile=baseline",257.0000
"scenario_label=prefix80,energy_profile=listen-expensive",257.0000
"scenario_label=prefix80,energy_profile=reader-expensive",257.0000
"scenario_label=prefix80,energy_profile=tag-expensive",257.0000
"scenario_label=random,energy_profile=balanced-high",948.8800
"scenario_label=random,energy_profile=baseline",954.6400
"scenario_label=random,energy_profile=listen-expensive",945.9800
"scenario_label=random,energy_profile=reader-expensive",949.6400
"scenario_label=random,energy_profile=tag-expensive",951.1600
