TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,energy_profile,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_reader_tx_energy_uj,total_tag_tx_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,energy_per_tag_uj,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,1558594335,2597397463,11211842.500000,329357.000000,1322056.000000,13712,5623530.471250,658.714000,661.028000,1319.742000,5624850.213250,10000,562.485021,10000,0,1856,929.000000,928.000000,257.000000,65601.000000,10927.000000,21376.000000,21376.000000,10927.000000,927.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.275400,0.000000,891.914063,SGCT,0,257,,,,11856,0.843455,132.205600,32.935700,1651413.000000,165.141300,5.387931,11211.842500
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,1558594335,2063419704,18393607.500000,654470.000000,2091140.000000,17181,9198134.509500,1308.940000,1045.570000,2354.510000,9200489.019500,10000,920.048902,10000,0,18150,,,,,,,,,,,,,,,,,,,,9.557000,,543.667141,NLHQT(n=2),0,21,,,,28150,0.355240,209.114000,65.447000,2745610.000000,274.561000,0.550964,18393.607500
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,1558594335,4263149179,13865312.500000,240328.000000,1468816.000000,20357,6907813.583000,480.656000,734.408000,1215.064000,6909028.647000,10000,690.902865,10000,4212,6145,,,,,,,,,,,,,,,,,,,,5.354500,,721.224278,EMDT,0,47,,,,20357,0.491232,146.881600,24.032800,1709144.000000,170.914400,1.627339,13865.312500
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2792941912,273242109,11263268.750000,332527.000000,1323033.000000,13827,5639202.639000,665.054000,661.516500,1326.570500,5640529.209500,10000,564.052921,10000,0,1913,957.000000,957.000000,257.000000,66036.000000,10956.000000,21432.000000,21432.000000,10956.000000,956.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.286400,0.000000,887.841729,SGCT,1,262,,,,11913,0.839419,132.303300,33.252700,1655560.000000,165.556000,5.227392,11263.268750
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,1558594335,653636727,16332846.250000,335999.000000,9103224.000000,34832,8180429.505750,671.998000,4551.612000,5223.610000,8185653.115750,10000,818.565312,10000,10976,9237,,,,,,,,,,,,,,,,,,,,5.164200,,612.263157,DQTA(k_max=3),0,27,,,,30213,0.330983,910.322400,33.599900,9439223.000000,943.922300,1.082603,16332.846250
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2792941912,1219928568,13633712.500000,247038.000000,1481472.000000,19703,6849422.923500,494.076000,740.736000,1234.812000,6850657.735500,10000,685.065774,10000,3788,5915,,,,,,,,,,,,,,,,,,,,5.316200,,733.475933,EMDT,1,50,,,,19703,0.507537,148.147200,24.703800,1728510.000000,172.851000,1.690617,13633.712500
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2792941912,803192325,18440907.500000,656044.000000,2091138.000000,17226,9224971.208250,1312.088000,1045.569000,2357.657000,9227328.865250,10000,922.732887,10000,0,18241,,,,,,,,,,,,,,,,,,,,9.556900,,542.272662,NLHQT(n=2),1,21,,,,28241,0.354095,209.113800,65.604400,2747182.000000,274.718200,0.548216,18440.907500
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2260581695,1598433020,11272870.000000,333138.000000,1323352.000000,13848,5663770.671750,666.276000,661.676000,1327.952000,5665098.623750,10000,566.509862,10000,0,1924,963.000000,962.000000,257.000000,66111.000000,10961.000000,21448.000000,21448.000000,10961.000000,961.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.289800,0.000000,887.085543,SGCT,2,260,,,,11924,0.838645,132.335200,33.313800,1656490.000000,165.649000,5.197505,11272.870000
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2792941912,769451767,16406461.250000,338709.000000,9101305.000000,34883,8231675.258750,677.418000,4550.652500,5228.070500,8236903.329250,10000,823.690333,10000,10919,9309,,,,,,,,,,,,,,,,,,,,5.163100,,609.515961,DQTA(k_max=3),1,27,,,,30228,0.330819,910.130500,33.870900,9440014.000000,944.001400,1.074229,16406.461250
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2260581695,2564918606,18407530.000000,654966.000000,2091152.000000,17194,9210979.955250,1309.932000,1045.576000,2355.508000,9213335.463250,10000,921.333546,10000,0,18184,,,,,,,,,,,,,,,,,,,,9.557600,,543.255939,NLHQT(n=2),2,21,,,,28184,0.354811,209.115200,65.496600,2746118.000000,274.611800,0.549934,18407.530000
10000,96,random,random,"scenario_label=random,energy_profile=baseline",0.000000,True,True,baseline,formal_sgct_energy_sensitivity,2260581695,1679261230,13727992.500000,242792.000000,1475056.000000,20085,6883292.003500,485.584000,737.528000,1223.112000,6884515.115500,10000,688.451512,10000,4091,5994,,,,,,,,,,,,,,,,,,,,5.324000,,728.438626,EMDT,2,46,,,,20085,0.497884,147.505600,24.279200,1717848.000000,171.784800,1.668335,13727.992500
