scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",1392.6400
"scenario_label=clustered,energy_profile=baseline",1392.0600
"scenario_label=clustered,energy_profile=listen-expensive",1389.8600
"scenario_label=clustered,energy_profile=reader-expensive",1389.8400
"scenario_label=clustered,energy_profile=tag-expensive",1394.2000
"scenario_label=dispersed,energy_profile=balanced-high",256.0000
"scenario_label=dispersed,energy_profile=baseline",256.0000
"scenario_label=dispersed,energy_profile=listen-expensive",256.0000
"scenario_label=dispersed,energy_profile=reader-expensive",256.0000
"scenario_label=dispersed,energy_profile=tag-expensive",256.0000
"scenario_label=prefix80,energy_profile=balanced-high",256.0000
"scenario_label=prefix80,energy_profile=baseline",256.0000
"scenario_label=prefix80,energy_profile=listen-expensive",256.0000
"scenario_label=prefix80,energy_profile=reader-expensive",256.0000
"scenario_label=prefix80,energy_profile=tag-expensive",256.0000
"scenario_label=random,energy_profile=balanced-high",945.6200
"scenario_label=random,energy_profile=baseline",951.4400
"scenario_label=random,energy_profile=listen-expensive",942.3000
"scenario_label=random,energy_profile=reader-expensive",946.3200
"scenario_label=random,energy_profile=tag-expensive",947.1600
