scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",1392.0800
"scenario_label=clustered,energy_profile=baseline",1391.4800
"scenario_label=clustered,energy_profile=listen-expensive",1389.2800
"scenario_label=clustered,energy_profile=reader-expensive",1389.3000
"scenario_label=clustered,energy_profile=tag-expensive",1393.7800
"scenario_label=dispersed,energy_profile=balanced-high",257.0000
"scenario_label=dispersed,energy_profile=baseline",257.0000
"scenario_label=dispersed,energy_profile=listen-expensive",257.0000
"scenario_label=dispersed,energy_profile=reader-expensive",257.0000
"scenario_label=dispersed,energy_profile=tag-expensive",257.0000
"scenario_label=prefix80,energy_profile=balanced-high",257.0000
"scenario_label=prefix80,energy_profile=baseline",257.0000
"scenario_label=prefix80,energy_profile=listen-expensive",257.0000
"scenario_label=prefix80,energy_profile=reader-expensive",257.0000
"scenario_label=prefix80,energy_profile=tag-expensive",257.0000
"scenario_label=random,energy_profile=balanced-high",946.6200
"scenario_label=random,energy_profile=baseline",952.4400
"scenario_label=random,energy_profile=listen-expensive",943.3000
"scenario_label=random,energy_profile=reader-expensive",947.3200
"scenario_label=random,energy_profile=tag-expensive",948.1600
