scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",41843.7600
"scenario_label=clustered,energy_profile=baseline",41834.7800
"scenario_label=clustered,energy_profile=listen-expensive",41801.7800
"scenario_label=clustered,energy_profile=reader-expensive",41802.0400
"scenario_label=clustered,energy_profile=tag-expensive",41869.1200
"scenario_label=dispersed,energy_profile=balanced-high",55536.0000
"scenario_label=dispersed,energy_profile=baseline",55536.0000
"scenario_label=dispersed,energy_profile=listen-expensive",55536.0000
"scenario_label=dispersed,energy_profile=reader-expensive",55536.0000
"scenario_label=dispersed,energy_profile=tag-expensive",55536.0000
"scenario_label=prefix80,energy_profile=balanced-high",55536.0000
"scenario_label=prefix80,energy_profile=baseline",55536.0000
"scenario_label=prefix80,energy_profile=listen-expensive",55536.0000
"scenario_label=prefix80,energy_profile=reader-expensive",55536.0000
"scenario_label=prefix80,energy_profile=tag-expensive",55536.0000
"scenario_label=random,energy_profile=balanced-high",65880.3000
"scenario_label=random,energy_profile=baseline",65967.6000
"scenario_label=random,energy_profile=listen-expensive",65830.5000
"scenario_label=random,energy_profile=reader-expensive",65890.8000
"scenario_label=random,energy_profile=tag-expensive",65903.4000
