scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",32997.1400
"scenario_label=clustered,energy_profile=baseline",32991.4200
"scenario_label=clustered,energy_profile=listen-expensive",32936.7600
"scenario_label=clustered,energy_profile=reader-expensive",32738.8800
"scenario_label=clustered,energy_profile=tag-expensive",32946.0200
"scenario_label=dispersed,energy_profile=balanced-high",20000.0000
"scenario_label=dispersed,energy_profile=baseline",20000.0000
"scenario_label=dispersed,energy_profile=listen-expensive",20000.0000
"scenario_label=dispersed,energy_profile=reader-expensive",20000.0000
"scenario_label=dispersed,energy_profile=tag-expensive",20000.0000
"scenario_label=prefix80,energy_profile=balanced-high",20000.0000
"scenario_label=prefix80,energy_profile=baseline",20000.0000
"scenario_label=prefix80,energy_profile=listen-expensive",20000.0000
"scenario_label=prefix80,energy_profile=reader-expensive",20000.0000
"scenario_label=prefix80,energy_profile=tag-expensive",20000.0000
"scenario_label=random,energy_profile=balanced-high",21414.9200
"scenario_label=random,energy_profile=baseline",21427.3800
"scenario_label=random,energy_profile=listen-expensive",21409.1200
"scenario_label=random,energy_profile=reader-expensive",21416.6200
"scenario_label=random,energy_profile=tag-expensive",21418.4600
