scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",9996.8800
"scenario_label=clustered,energy_profile=baseline",9996.8400
"scenario_label=clustered,energy_profile=listen-expensive",9996.8400
"scenario_label=clustered,energy_profile=reader-expensive",9996.9200
"scenario_label=clustered,energy_profile=tag-expensive",9997.1600
"scenario_label=dispersed,energy_profile=balanced-high",10000.0000
"scenario_label=dispersed,energy_profile=baseline",10000.0000
"scenario_label=dispersed,energy_profile=listen-expensive",10000.0000
"scenario_label=dispersed,energy_profile=reader-expensive",10000.0000
"scenario_label=dispersed,energy_profile=tag-expensive",10000.0000
"scenario_label=prefix80,energy_profile=balanced-high",10000.0000
"scenario_label=prefix80,energy_profile=baseline",10000.0000
"scenario_label=prefix80,energy_profile=listen-expensive",10000.0000
"scenario_label=prefix80,energy_profile=reader-expensive",10000.0000
"scenario_label=prefix80,energy_profile=tag-expensive",10000.0000
"scenario_label=random,energy_profile=balanced-high",10000.0000
"scenario_label=random,energy_profile=baseline",10000.0000
"scenario_label=random,energy_profile=listen-expensive",10000.0000
"scenario_label=random,energy_profile=reader-expensive",10000.0000
"scenario_label=random,energy_profile=tag-expensive",10000.0000
