scenario_point,SGCT
"scenario_label=clustered,energy_profile=balanced-high",11389.5200
"scenario_label=clustered,energy_profile=baseline",11388.9000
"scenario_label=clustered,energy_profile=listen-expensive",11386.7000
"scenario_label=clustered,energy_profile=reader-expensive",11386.7600
"scenario_label=clustered,energy_profile=tag-expensive",11391.3600
"scenario_label=dispersed,energy_profile=balanced-high",10256.0000
"scenario_label=dispersed,energy_profile=baseline",10256.0000
"scenario_label=dispersed,energy_profile=listen-expensive",10256.0000
"scenario_label=dispersed,energy_profile=reader-expensive",10256.0000
"scenario_label=dispersed,energy_profile=tag-expensive",10256.0000
"scenario_label=prefix80,energy_profile=balanced-high",10256.0000
"scenario_label=prefix80,energy_profile=baseline",10256.0000
"scenario_label=prefix80,energy_profile=listen-expensive",10256.0000
"scenario_label=prefix80,energy_profile=reader-expensive",10256.0000
"scenario_label=prefix80,energy_profile=tag-expensive",10256.0000
"scenario_label=random,energy_profile=balanced-high",10945.6200
"scenario_label=random,energy_profile=baseline",10951.4400
"scenario_label=random,energy_profile=listen-expensive",10942.3000
"scenario_label=random,energy_profile=reader-expensive",10946.3200
"scenario_label=random,energy_profile=tag-expensive",10947.1600
