scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_protocol_time_ms,16109.426750,88.402919,16242.374313,24.504039,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),throughput_tags_per_sec,620.772853,3.402922,625.502591,0.943242,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),system_efficiency,0.330196,0.001909,0.333759,0.000529,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),collision_slots,9282.200000,59.790109,9372.100000,16.572973,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),idle_slots,11003.800000,154.847522,11185.750000,42.921543,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_energy_uj,16135197.001870,88236.948309,16251250.711488,24458.034244,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),energy_per_tag_uj,1613.519700,8.823695,1625.125071,2.445803,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_reader_tx_energy_uj,2710.561800,17.902197,2737.199250,4.962236,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_tag_tx_energy_uj,5174.664020,347.382101,5628.842850,96.289406,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_listening_energy_uj,16127311.776050,88308.531342,16243677.367288,24477.876049,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_transmission_energy_uj,7885.225820,344.619044,8363.538150,95.523525,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),total_bits,6078184.620000,346360.734329,6540145.450000,96006.297400,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),avg_tag_bits,517.466402,34.738210,562.884285,9.628941,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),avg_reader_bits,90.352060,0.596740,91.239975,0.165408,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),avg_total_bits,607.818462,34.636073,654.014545,9.600630,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),avg_query_efficiency,1.077375,0.006932,1.087798,0.001921,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),peak_stack_depth,25.640000,1.156349,27.550000,0.320524,50
"scenario_label=clustered,energy_profile=balanced-high",DQTA(k_max=3),avg_tag_responses,5.798434,0.191725,6.049010,0.053143,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_protocol_time_ms,13666.472700,113.033608,13852.875625,31.331318,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,throughput_tags_per_sec,731.766587,6.031510,741.363623,1.671849,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,system_efficiency,0.502328,0.006081,0.510726,0.001686,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,collision_slots,5929.660000,116.062546,6122.300000,32.170897,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,idle_slots,3980.540000,144.904784,4209.450000,40.165557,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_energy_uj,13671024.116150,110979.021603,13857135.726900,30761.815348,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,energy_per_tag_uj,1367.102412,11.097902,1385.713573,3.076182,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_reader_tx_energy_uj,730.134240,9.329997,746.605200,2.586143,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_tag_tx_energy_uj,1476.696320,4.045000,1482.251200,1.121217,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_listening_energy_uj,13668817.285590,110978.303656,13854928.679700,30761.616343,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_transmission_energy_uj,2206.830560,12.705227,2229.742000,3.521709,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,total_bits,1720074.400000,6735.831521,1731295.700000,1867.077241,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,avg_tag_bits,147.669632,0.404500,148.225120,0.112122,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,avg_reader_bits,24.337808,0.311000,24.886840,0.086205,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,avg_total_bits,172.007440,0.673583,173.129570,0.186708,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,avg_query_efficiency,1.687066,0.032761,1.737741,0.009081,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,peak_stack_depth,46.220000,1.474823,48.550000,0.408800,50
"scenario_label=clustered,energy_profile=balanced-high",EMDT,avg_tag_responses,5.310050,0.023116,5.351680,0.006407,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_protocol_time_ms,25171.076425,122.305491,25355.499625,33.901353,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),throughput_tags_per_sec,397.290579,1.931673,400.315930,0.535432,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),system_efficiency,0.348742,0.001222,0.350826,0.000339,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),collision_slots,18674.840000,100.443376,18824.200000,27.841483,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),idle_slots,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_energy_uj,25234883.086605,128460.585047,25435102.640850,35607.457514,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),energy_per_tag_uj,2523.488309,12.846059,2543.510264,3.560746,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_reader_tx_energy_uj,5132.969520,28.251931,5174.968500,7.831036,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_tag_tx_energy_uj,2691.632080,10.800866,2701.445800,2.993847,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_listening_energy_uj,25227058.485005,128425.821345,25427223.170150,35597.821508,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_transmission_energy_uj,7824.601600,37.444592,7876.442200,10.379111,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),total_bits,4402621.920000,19177.247667,4426463.200000,5315.661853,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_tag_bits,269.163208,1.080087,270.144580,0.299385,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_reader_bits,171.098984,0.941731,172.498950,0.261035,50
