scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",0.3302,0.5023,0.3487,0.7819
"scenario_label=clustered,energy_profile=baseline",0.3300,0.5016,0.3489,0.7819
"scenario_label=clustered,energy_profile=listen-expensive",0.3305,0.5026,0.3488,0.7822
"scenario_label=clustered,energy_profile=reader-expensive",0.3299,0.5029,0.3489,0.7822
"scenario_label=clustered,energy_profile=tag-expensive",0.3307,0.4998,0.3487,0.7817
"scenario_label=dispersed,energy_profile=balanced-high",0.3656,0.5020,0.3782,0.9313
"scenario_label=dispersed,energy_profile=baseline",0.3594,0.5000,0.3781,0.9330
"scenario_label=dispersed,energy_profile=listen-expensive",0.3626,0.5032,0.3782,0.9321
"scenario_label=dispersed,energy_profile=reader-expensive",0.3603,0.5026,0.3781,0.9313
"scenario_label=dispersed,energy_profile=tag-expensive",0.3627,0.5015,0.3782,0.9308
"scenario_label=prefix80,energy_profile=balanced-high",0.3675,0.5023,0.3782,0.9512
"scenario_label=prefix80,energy_profile=baseline",0.3681,0.5024,0.3782,0.9512
"scenario_label=prefix80,energy_profile=listen-expensive",0.3676,0.5006,0.3782,0.9512
"scenario_label=prefix80,energy_profile=reader-expensive",0.3676,0.5009,0.3782,0.9512
"scenario_label=prefix80,energy_profile=tag-expensive",0.3675,0.5017,0.3782,0.9512
"scenario_label=random,energy_profile=balanced-high",0.3308,0.5018,0.3543,0.8407
"scenario_label=random,energy_profile=baseline",0.3301,0.5029,0.3541,0.8399
"scenario_label=random,energy_profile=listen-expensive",0.3307,0.5023,0.3545,0.8412
"scenario_label=random,energy_profile=reader-expensive",0.3311,0.5006,0.3543,0.8406
"scenario_label=random,energy_profile=tag-expensive",0.3306,0.5003,0.3542,0.8405
