scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",620.7729,731.7666,397.2906,983.2637
"scenario_label=clustered,energy_profile=baseline",620.8201,730.4143,397.6063,983.3550
"scenario_label=clustered,energy_profile=listen-expensive",620.7958,731.5769,397.5559,984.1392
"scenario_label=clustered,energy_profile=reader-expensive",620.3224,731.7485,398.0038,983.9931
"scenario_label=clustered,energy_profile=tag-expensive",620.9393,729.5185,397.4126,982.6843
"scenario_label=dispersed,energy_profile=balanced-high",429.4650,730.7119,1089.2263,1493.4373
"scenario_label=dispersed,energy_profile=baseline",436.6319,728.8916,1089.1140,1516.2357
"scenario_label=dispersed,energy_profile=listen-expensive",420.6641,732.0984,1089.3634,1489.2269
"scenario_label=dispersed,energy_profile=reader-expensive",421.9426,731.3143,1088.9771,1495.7227
"scenario_label=dispersed,energy_profile=tag-expensive",420.0382,730.1605,1089.4412,1498.7066
"scenario_label=prefix80,energy_profile=balanced-high",677.0951,730.9474,1089.3117,1821.2490
"scenario_label=prefix80,energy_profile=baseline",676.9878,731.7659,1089.2785,1821.2490
"scenario_label=prefix80,energy_profile=listen-expensive",677.5070,729.5781,1089.4493,1821.2490
"scenario_label=prefix80,energy_profile=reader-expensive",677.1165,729.6091,1089.3946,1821.2490
"scenario_label=prefix80,energy_profile=tag-expensive",676.6931,730.3829,1089.1657,1821.2490
"scenario_label=random,energy_profile=balanced-high",610.5699,730.1510,542.0674,889.1803
"scenario_label=random,energy_profile=baseline",610.4057,731.6849,541.9194,888.3463
"scenario_label=random,energy_profile=listen-expensive",610.9911,730.7409,542.4911,889.6341
"scenario_label=random,energy_profile=reader-expensive",610.6236,729.5398,542.1915,889.0821
"scenario_label=random,energy_profile=tag-expensive",610.6164,729.4704,542.1064,888.9077
