scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",6078184.6200,1720074.4000,4402621.9200,1549873.5600
"scenario_label=clustered,energy_profile=baseline",6136641.6600,1721326.0400,4399895.7600,1549696.4000
"scenario_label=clustered,energy_profile=listen-expensive",6165880.8200,1722320.6000,4400524.2000,1547784.1200
"scenario_label=clustered,energy_profile=reader-expensive",6152811.2400,1721536.0800,4396373.3600,1542954.2800
"scenario_label=clustered,energy_profile=tag-expensive",6151932.4200,1719000.4800,4400394.9000,1549021.7200
"scenario_label=dispersed,energy_profile=balanced-high",6819073.5000,1722455.3200,1379952.0800,1172765.6800
"scenario_label=dispersed,energy_profile=baseline",6814199.9400,1721635.6800,1381023.4200,1146820.8000
"scenario_label=dispersed,energy_profile=listen-expensive",7020139.3600,1722207.8400,1386092.3000,1178893.2600
"scenario_label=dispersed,energy_profile=reader-expensive",6990424.1000,1721561.8400,1382516.6800,1149692.8600
"scenario_label=dispersed,energy_profile=tag-expensive",7012971.3600,1721706.2800,1380248.8400,1174863.8000
"scenario_label=prefix80,energy_profile=balanced-high",1840783.6000,1722254.0400,1079536.5600,713225.0000
"scenario_label=prefix80,energy_profile=baseline",1841122.2400,1720623.4800,1079541.6400,713225.0000
"scenario_label=prefix80,energy_profile=listen-expensive",1840078.4400,1720976.0400,1079449.3200,713225.0000
"scenario_label=prefix80,energy_profile=reader-expensive",1840716.9000,1721837.9600,1079478.4000,713225.0000
"scenario_label=prefix80,energy_profile=tag-expensive",1841467.3200,1722749.2800,1079620.8800,713225.0000
"scenario_label=random,energy_profile=balanced-high",9442320.2400,1722702.4000,2747685.8400,1654292.7200
"scenario_label=random,energy_profile=baseline",9443334.1400,1720830.2800,2747965.0800,1655158.3400
"scenario_label=random,energy_profile=listen-expensive",9440367.5800,1722201.8400,2747089.6000,1653859.2400
"scenario_label=random,energy_profile=reader-expensive",9442277.1400,1721509.5600,2747518.6400,1654409.8000
"scenario_label=random,energy_profile=tag-expensive",9440851.3200,1720184.5600,2747615.1600,1654599.2600
