scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",16135197.0019,13671024.1162,25234883.0866,10157198.3990
"scenario_label=clustered,energy_profile=baseline",8070103.9712,6851108.2029,12605862.3555,5085679.9394
"scenario_label=clustered,energy_profile=listen-expensive",16142244.0189,13678836.0181,25196669.6805,10177716.5799
"scenario_label=clustered,energy_profile=reader-expensive",8069546.1538,6846170.6077,12594938.7864,5078943.2336
"scenario_label=clustered,energy_profile=tag-expensive",8072879.7540,6862968.6388,12609473.9657,5084769.6723
"scenario_label=dispersed,energy_profile=balanced-high",24111782.7184,13700668.4835,9188500.7359,6774966.1631
"scenario_label=dispersed,energy_profile=baseline",11857578.7387,6857037.4872,4595354.5029,3336371.3394
"scenario_label=dispersed,energy_profile=listen-expensive",24424769.5512,13658843.4457,9186009.4926,6794794.8149
"scenario_label=dispersed,energy_profile=reader-expensive",12080388.0234,6843888.0234,4597067.5443,3382990.9056
"scenario_label=dispersed,energy_profile=tag-expensive",12253510.0333,6849180.1202,4593897.4417,3373722.6268
"scenario_label=prefix80,energy_profile=balanced-high",14790274.5197,13686268.9917,9187111.0749,5548969.2162
"scenario_label=prefix80,energy_profile=baseline",7396219.0193,6836119.7445,4593531.3756,2774963.9976
"scenario_label=prefix80,energy_profile=listen-expensive",14782512.7767,13726328.8017,9184176.0447,5549178.3206
"scenario_label=prefix80,energy_profile=reader-expensive",7401385.1961,6859549.4649,4594202.1318,2774383.0325
"scenario_label=prefix80,energy_profile=tag-expensive",7399356.7299,6853893.7237,4595268.4744,2775418.7003
"scenario_label=random,energy_profile=balanced-high",16409320.6438,13701665.4813,18459105.6977,11298889.4921
"scenario_label=random,energy_profile=baseline",8207793.0675,6832820.9953,9233524.7444,5653170.1100
"scenario_label=random,energy_profile=listen-expensive",16389752.4627,13689942.6577,18450312.1939,11288391.8111
"scenario_label=random,energy_profile=reader-expensive",8197676.4113,6853960.7085,9238113.7261,5644147.5728
"scenario_label=random,energy_profile=tag-expensive",8210069.6499,6864136.7305,9229048.6954,5652807.5502
