scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",16127311.7760,13668817.2856,25227058.4850,10154551.4404
"scenario_label=clustered,energy_profile=baseline",8065680.6426,6849881.1838,12601098.1739,5084082.3996
"scenario_label=clustered,energy_profile=listen-expensive",16137805.7630,13677608.1585,25191904.8006,10176120.8640
"scenario_label=clustered,energy_profile=reader-expensive",8063305.0343,6844455.7095,12586763.9951,5076253.7654
"scenario_label=clustered,energy_profile=tag-expensive",8065824.4482,6861006.2884,12603363.2064,5082671.6851
"scenario_label=dispersed,energy_profile=balanced-high",24101738.7251,13698456.5889,9185918.3402,6773173.4660
"scenario_label=dispersed,energy_profile=baseline",11851786.3146,6855809.6169,4593762.0558,3335334.9978
"scenario_label=dispersed,energy_profile=listen-expensive",24418813.5007,13657615.8965,9184414.7065,6793742.9283
"scenario_label=dispersed,energy_profile=reader-expensive",12071241.9027,6842172.6996,4594271.4672,3381330.7342
"scenario_label=dispersed,energy_profile=tag-expensive",12244852.2540,6847213.9416,4591916.0801,3372236.6992
"scenario_label=prefix80,energy_profile=balanced-high",14786448.4750,13684057.6363,9184829.1278,5547669.5412
"scenario_label=prefix80,energy_profile=baseline",7393808.9613,6834894.0139,4592089.7828,2774167.5476
"scenario_label=prefix80,energy_profile=listen-expensive",14780104.8136,13725101.9853,9182734.6376,5548381.8706
"scenario_label=prefix80,energy_profile=reader-expensive",7396990.6367,6857832.2581,4591558.3703,2773000.1325
"scenario_label=prefix80,energy_profile=tag-expensive",7396521.9775,6851926.0581,4593587.5690,2774412.2503
"scenario_label=random,energy_profile=balanced-high",16399203.0762,13699452.9287,18455045.1033,11296572.1697
"scenario_label=random,energy_profile=baseline",8202564.8829,6831594.9883,9231165.7192,5651844.2548
"scenario_label=random,energy_profile=listen-expensive",16384526.5559,13688714.6958,18447954.8018,11287068.1710
"scenario_label=random,energy_profile=reader-expensive",8191773.5914,6852244.1557,9234442.9400,5642159.8250
"scenario_label=random,energy_profile=tag-expensive",8200291.2633,6862172.6302,9225644.6873,5650821.2320
