scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",16109.4268,13666.4727,25171.0764,10170.9675
"scenario_label=clustered,energy_profile=baseline",16108.0996,13691.8798,25151.5286,10169.9833
"scenario_label=clustered,energy_profile=listen-expensive",16108.7556,13670.0127,25154.6367,10161.8276
"scenario_label=clustered,energy_profile=reader-expensive",16121.0964,13667.1089,25126.8914,10163.3410
"scenario_label=clustered,energy_profile=tag-expensive",16105.0499,13708.4862,25163.7621,10177.1427
"scenario_label=dispersed,energy_profile=balanced-high",24068.2928,13686.0083,9180.8571,6715.6829
"scenario_label=dispersed,energy_profile=baseline",23670.9776,13719.9898,9181.7989,6612.3499
"scenario_label=dispersed,energy_profile=listen-expensive",24396.3119,13660.3329,9179.6951,6735.8832
"scenario_label=dispersed,energy_profile=reader-expensive",24117.0054,13674.7388,9182.9568,6705.6488
"scenario_label=dispersed,energy_profile=tag-expensive",24467.9487,13696.5909,9179.0500,6686.5464
"scenario_label=prefix80,energy_profile=balanced-high",14769.3862,13681.4681,9180.1418,5490.7375
"scenario_label=prefix80,energy_profile=baseline",14771.8371,13666.5010,9180.4189,5490.7375
"scenario_label=prefix80,energy_profile=listen-expensive",14760.3390,13707.2694,9178.9837,5490.7375
"scenario_label=prefix80,energy_profile=reader-expensive",14769.0168,13706.7098,9179.4354,5490.7375
"scenario_label=prefix80,energy_profile=tag-expensive",14778.1382,13692.4826,9181.3659,5490.7375
"scenario_label=random,energy_profile=balanced-high",16378.3673,13696.6442,18448.1002,11246.4873
"scenario_label=random,energy_profile=baseline",16382.8711,13667.7002,18453.1186,11257.0297
"scenario_label=random,energy_profile=listen-expensive",16367.0795,13685.6367,18433.6359,11240.6846
"scenario_label=random,energy_profile=reader-expensive",16377.0024,13708.1008,18443.8979,11247.7310
"scenario_label=random,energy_profile=tag-expensive",16377.1333,13709.7593,18446.7010,11249.8786
