scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",2710.5618,730.1342,5132.9695,1645.6277
"scenario_label=clustered,energy_profile=baseline",1806.6771,488.4748,3418.9782,1096.9220
"scenario_label=clustered,energy_profile=listen-expensive",1807.0873,488.9324,3419.4903,1095.7651
"scenario_label=clustered,energy_profile=reader-expensive",3616.8158,976.1488,6830.4053,2191.9898
"scenario_label=clustered,energy_profile=tag-expensive",1806.7466,486.6998,3420.7288,1097.9308
"scenario_label=dispersed,energy_profile=balanced-high",4837.3796,734.1589,1803.6655,929.8970
"scenario_label=dispersed,energy_profile=baseline",3180.4322,489.4032,1202.5806,617.2416
"scenario_label=dispersed,energy_profile=listen-expensive",3261.3078,488.5936,1202.3199,616.5865
"scenario_label=dispersed,energy_profile=reader-expensive",6458.1813,976.6205,2405.5072,1240.3714
"scenario_label=dispersed,energy_profile=tag-expensive",3289.6160,488.9447,1202.2254,622.1276
"scenario_label=prefix80,energy_profile=balanced-high",2977.8916,733.6520,1803.6158,879.6750
"scenario_label=prefix80,energy_profile=baseline",1985.9959,487.2252,1202.4294,586.4500
"scenario_label=prefix80,energy_profile=listen-expensive",1983.8985,488.4378,1202.2433,586.4500
"scenario_label=prefix80,energy_profile=reader-expensive",3970.5153,978.6146,2404.5970,1172.9000
"scenario_label=prefix80,energy_profile=tag-expensive",1986.5703,489.8326,1202.5690,586.4500
"scenario_label=random,energy_profile=balanced-high",1012.8710,734.7754,1969.3627,994.5445
"scenario_label=random,energy_profile=baseline",675.3568,487.4558,1313.3902,664.3681
"scenario_label=random,energy_profile=listen-expensive",674.2973,489.1480,1311.7964,662.2806
"scenario_label=random,energy_profile=reader-expensive",1350.4930,978.0549,2625.1734,1326.3347
"scenario_label=random,energy_profile=tag-expensive",675.0705,487.8315,1312.7858,663.4378
