scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",34927.6000,19910.2000,17453.2400,15576.9000
"scenario_label=clustered,energy_profile=baseline",34941.5400,19939.1600,17448.7800,15575.0800
"scenario_label=clustered,energy_profile=listen-expensive",34899.5400,19901.6000,17448.0000,15565.7200
"scenario_label=clustered,energy_profile=reader-expensive",34954.4600,19889.4200,17443.7800,15566.6600
"scenario_label=clustered,energy_profile=tag-expensive",34882.3800,20011.7600,17457.0200,15583.5800
"scenario_label=dispersed,energy_profile=balanced-high",35006.3200,19924.0000,16188.7800,11253.1200
"scenario_label=dispersed,energy_profile=baseline",35328.1600,20001.8400,16190.5000,11232.6600
"scenario_label=dispersed,energy_profile=listen-expensive",35290.2000,19877.3400,16186.8000,11242.8600
"scenario_label=dispersed,energy_profile=reader-expensive",35469.0400,19899.1200,16192.5400,11253.0000
"scenario_label=dispersed,energy_profile=tag-expensive",35424.9400,19944.4600,16185.5600,11258.3200
"scenario_label=prefix80,energy_profile=balanced-high",31495.5400,19910.1600,16187.2800,11027.0000
"scenario_label=prefix80,energy_profile=baseline",31458.2600,19909.2400,16187.8200,11027.0000
"scenario_label=prefix80,energy_profile=listen-expensive",31485.5800,19978.2600,16185.1600,11027.0000
"scenario_label=prefix80,energy_profile=reader-expensive",31489.0800,19968.0400,16186.0200,11027.0000
"scenario_label=prefix80,energy_profile=tag-expensive",31503.0600,19934.9800,16189.3600,11027.0000
"scenario_label=random,energy_profile=balanced-high",34874.2000,19930.6400,17231.5600,13787.7400
"scenario_label=random,energy_profile=baseline",34939.9200,19886.6200,17235.7800,13810.9600
"scenario_label=random,energy_profile=listen-expensive",34879.1400,19912.3800,17218.3600,13774.8800
"scenario_label=random,energy_profile=reader-expensive",34848.0000,19979.7400,17227.7200,13790.6000
"scenario_label=random,energy_profile=tag-expensive",34887.6800,19990.1800,17230.3400,13794.6400
