scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",5174.6640,1476.6963,2691.6321,1001.3310
"scenario_label=clustered,energy_profile=baseline",2616.6516,738.5443,1345.2033,500.6177
"scenario_label=clustered,energy_profile=listen-expensive",2631.1686,738.9272,1345.3895,499.9508
"scenario_label=clustered,energy_profile=reader-expensive",2624.3036,738.7494,1344.3860,497.4784
"scenario_label=clustered,energy_profile=tag-expensive",5248.5591,1475.6506,2690.0305,1000.0563
"scenario_label=dispersed,energy_profile=balanced-high",5206.6136,1477.7357,778.7302,862.8000
"scenario_label=dispersed,energy_profile=baseline",2611.9919,738.4670,389.8666,419.1000
"scenario_label=dispersed,energy_profile=listen-expensive",2694.7427,738.9555,392.4662,435.3000
"scenario_label=dispersed,energy_profile=reader-expensive",2687.9394,738.7034,390.5699,419.8000
"scenario_label=dispersed,energy_profile=tag-expensive",5368.1634,1477.2339,779.1361,863.8000
"scenario_label=prefix80,energy_profile=balanced-high",848.1531,1477.7034,478.3313,420.0000
"scenario_label=prefix80,energy_profile=baseline",424.0621,738.5054,239.1635,210.0000
"scenario_label=prefix80,energy_profile=listen-expensive",424.0646,738.3786,239.1638,210.0000
"scenario_label=prefix80,energy_profile=reader-expensive",424.0440,738.5922,239.1646,210.0000
"scenario_label=prefix80,energy_profile=tag-expensive",848.1822,1477.8330,478.3364,420.0000
"scenario_label=random,energy_profile=balanced-high",9104.6966,1477.7773,2091.2316,1322.7779
"scenario_label=random,energy_profile=baseline",4552.8279,738.5512,1045.6350,661.4871
"scenario_label=random,energy_profile=listen-expensive",4551.6095,738.8139,1045.5957,661.3595
"scenario_label=random,energy_profile=reader-expensive",4552.3269,738.4979,1045.6126,661.4131
"scenario_label=random,energy_profile=tag-expensive",9103.3161,1476.2688,2091.2223,1322.8804
