scenario_point,DQTA(k_max=3),EMDT,NLHQT(n=2),SGCT
"scenario_label=clustered,energy_profile=balanced-high",7885.2258,2206.8306,7824.6016,2646.9587
"scenario_label=clustered,energy_profile=baseline",4423.3287,1227.0191,4764.1816,1597.5397
"scenario_label=clustered,energy_profile=listen-expensive",4438.2559,1227.8596,4764.8798,1595.7159
"scenario_label=clustered,energy_profile=reader-expensive",6241.1195,1714.8982,8174.7913,2689.4682
"scenario_label=clustered,energy_profile=tag-expensive",7055.3057,1962.3504,6110.7593,2097.9871
"scenario_label=dispersed,energy_profile=balanced-high",10043.9932,2211.8946,2582.3958,1792.6970
"scenario_label=dispersed,energy_profile=baseline",5792.4241,1227.8702,1592.4472,1036.3416
"scenario_label=dispersed,energy_profile=listen-expensive",5956.0505,1227.5491,1594.7861,1051.8865
"scenario_label=dispersed,energy_profile=reader-expensive",9146.1207,1715.3238,2796.0771,1660.1714
"scenario_label=dispersed,energy_profile=tag-expensive",8657.7793,1966.1786,1981.3616,1485.9276
"scenario_label=prefix80,energy_profile=balanced-high",3826.0447,2211.3554,2281.9471,1299.6750
"scenario_label=prefix80,energy_profile=baseline",2410.0580,1225.7306,1441.5928,796.4500
"scenario_label=prefix80,energy_profile=listen-expensive",2407.9631,1226.8164,1441.4071,796.4500
"scenario_label=prefix80,energy_profile=reader-expensive",4394.5593,1717.2067,2643.7615,1382.9000
"scenario_label=prefix80,energy_profile=tag-expensive",2834.7525,1967.6656,1680.9054,1006.4500
"scenario_label=random,energy_profile=balanced-high",10117.5676,2212.5526,4060.5943,2317.3224
"scenario_label=random,energy_profile=baseline",5228.1847,1226.0070,2359.0252,1325.8552
"scenario_label=random,energy_profile=listen-expensive",5225.9068,1227.9619,2357.3921,1323.6401
"scenario_label=random,energy_profile=reader-expensive",5902.8200,1716.5528,3670.7861,1987.7478
"scenario_label=random,energy_profile=tag-expensive",9778.3866,1964.1003,3404.0080,1986.3181
