scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",1.0789,0.6716,1.6821,0.9925,0.5361,3.6042
"BINARY_LENGTH=128,scenario_label=long-prefix",1.0777,0.6887,1.6751,0.9959,0.5489,5.2831
"BINARY_LENGTH=128,scenario_label=medium-prefix",1.0775,0.6902,1.6878,0.9959,0.5487,5.2661
"BINARY_LENGTH=128,scenario_label=random",1.0764,0.6932,1.6782,0.9959,0.5487,5.2648
"BINARY_LENGTH=160,scenario_label=clustered",1.0779,0.6717,1.6717,0.9924,0.5365,3.5980
"BINARY_LENGTH=160,scenario_label=long-prefix",1.0765,0.6863,1.6780,0.9959,0.5486,5.2884
"BINARY_LENGTH=160,scenario_label=medium-prefix",1.0773,0.6897,1.6781,0.9959,0.5490,5.2852
"BINARY_LENGTH=160,scenario_label=random",1.0763,0.6933,1.6677,0.9959,0.5489,5.2753
"BINARY_LENGTH=64,scenario_label=clustered",1.2502,0.9142,1.6820,0.9926,0.6506,36.5874
"BINARY_LENGTH=64,scenario_label=long-prefix",1.2491,0.9434,1.6783,0.9959,0.6764,19.4932
"BINARY_LENGTH=64,scenario_label=medium-prefix",1.0777,0.6912,1.6863,0.9959,0.5486,5.2937
"BINARY_LENGTH=64,scenario_label=random",1.0774,0.6934,1.6856,0.9959,0.5490,5.3014
"BINARY_LENGTH=96,scenario_label=clustered",1.0772,0.6708,1.6784,0.9926,0.5357,3.5910
"BINARY_LENGTH=96,scenario_label=long-prefix",1.0835,0.7034,1.6774,0.9959,0.5573,5.4908
"BINARY_LENGTH=96,scenario_label=medium-prefix",1.0776,0.6909,1.6848,0.9959,0.5488,5.2548
"BINARY_LENGTH=96,scenario_label=random",1.0769,0.6932,1.6831,0.9959,0.5488,5.2729
