scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",90.2130,152.7458,24.3845,244.5208,171.0805,54.7037
"BINARY_LENGTH=128,scenario_label=long-prefix",128.4152,210.3074,24.4531,285.6226,65.6334,50.8936
"BINARY_LENGTH=128,scenario_label=medium-prefix",93.1700,154.7464,24.3822,247.7853,65.6495,45.3476
"BINARY_LENGTH=128,scenario_label=random",33.7964,58.1732,24.4084,184.0634,65.6440,33.1850
"BINARY_LENGTH=160,scenario_label=clustered",90.3050,152.7311,24.4996,276.5077,171.1042,54.7579
"BINARY_LENGTH=160,scenario_label=long-prefix",152.7208,249.6295,24.4993,343.5086,65.6608,57.2520
"BINARY_LENGTH=160,scenario_label=medium-prefix",108.0386,178.1087,24.3987,295.7182,65.6219,48.3014
"BINARY_LENGTH=160,scenario_label=random",33.7995,58.1573,24.5673,216.0645,65.6231,33.1618
"BINARY_LENGTH=64,scenario_label=clustered",68.0572,99.0362,24.4468,168.9227,129.0341,24.9265
"BINARY_LENGTH=64,scenario_label=long-prefix",68.1539,97.1544,24.4920,169.1671,52.8642,27.4221
"BINARY_LENGTH=64,scenario_label=medium-prefix",63.4506,107.1177,24.3956,151.9256,65.6450,39.1290
"BINARY_LENGTH=64,scenario_label=random",33.7648,58.1526,24.5130,120.0628,65.6090,33.1122
"BINARY_LENGTH=96,scenario_label=clustered",90.3636,152.9267,24.3833,212.5284,171.1185,54.8103
"BINARY_LENGTH=96,scenario_label=long-prefix",103.6599,168.8310,24.4131,227.7009,64.8852,39.8540
"BINARY_LENGTH=96,scenario_label=medium-prefix",78.3127,130.8713,24.4083,199.8537,65.6272,42.3512
"BINARY_LENGTH=96,scenario_label=random",33.7818,58.1673,24.3917,152.0641,65.6375,33.1670
