scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",891.9860,359.7574,179.6861,776.0988,333.2951,131.7474
"BINARY_LENGTH=128,scenario_label=long-prefix",187.3656,478.9667,179.6989,197.3907,69.1211,61.2634
"BINARY_LENGTH=128,scenario_label=medium-prefix",579.9612,368.5262,179.7337,600.7585,145.1249,100.2880
"BINARY_LENGTH=128,scenario_label=random",1241.2373,182.3333,179.6760,1280.2357,273.1238,164.2853
"BINARY_LENGTH=160,scenario_label=clustered",1269.7356,394.7267,211.7430,1115.5805,397.3966,164.1446
"BINARY_LENGTH=160,scenario_label=long-prefix",249.3774,589.5927,211.7900,261.0243,81.1240,68.1330
"BINARY_LENGTH=160,scenario_label=medium-prefix",745.2803,449.9855,211.6739,770.7227,177.1236,116.2808
"BINARY_LENGTH=160,scenario_label=random",1571.9690,217.2880,211.7792,1620.3020,337.1230,196.2838
"BINARY_LENGTH=64,scenario_label=clustered",248.1275,254.7299,115.7532,176.9870,191.3197,60.9997
"BINARY_LENGTH=64,scenario_label=long-prefix",65.8822,254.7318,115.7809,71.2316,42.0000,36.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",249.3399,205.5531,115.7287,261.0684,81.1238,68.1282
"BINARY_LENGTH=64,scenario_label=random",579.9072,112.4374,115.8678,600.7975,145.1201,100.2658
"BINARY_LENGTH=96,scenario_label=clustered",516.8566,324.7906,147.6597,427.2736,269.2391,99.7454
"BINARY_LENGTH=96,scenario_label=long-prefix",125.4500,368.2137,147.6812,133.7311,57.0013,50.3596
"BINARY_LENGTH=96,scenario_label=medium-prefix",414.6057,287.0396,147.7347,430.8676,113.1216,84.2960
"BINARY_LENGTH=96,scenario_label=random",910.5893,147.4786,147.6990,940.3547,209.1242,132.2859
