scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",5.8113,75.6162,5.3150,11.8827,39.8575,6.5664
"BINARY_LENGTH=128,scenario_label=long-prefix",5.1653,116.6189,5.3206,11.6182,9.5610,4.2833
"BINARY_LENGTH=128,scenario_label=medium-prefix",5.1657,78.6213,5.3096,11.6162,9.5624,4.2845
"BINARY_LENGTH=128,scenario_label=random",5.1660,14.6202,5.3162,11.6164,9.5619,4.2843
"BINARY_LENGTH=160,scenario_label=clustered",5.8301,75.6188,5.3242,11.8163,39.8783,6.5986
"BINARY_LENGTH=160,scenario_label=long-prefix",5.1662,142.6228,5.3197,11.6150,9.5620,4.2828
"BINARY_LENGTH=160,scenario_label=medium-prefix",5.1659,94.6214,5.3183,11.6177,9.5618,4.2835
"BINARY_LENGTH=160,scenario_label=random",5.1663,14.6205,5.3275,11.6187,9.5615,4.2839
"BINARY_LENGTH=64,scenario_label=clustered",5.6363,63.5503,5.3158,11.6823,33.8077,6.0800
"BINARY_LENGTH=64,scenario_label=long-prefix",4.9416,63.5506,5.3194,11.4338,8.9416,4.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",5.1651,46.6217,5.3107,11.6169,9.5619,4.2827
"BINARY_LENGTH=64,scenario_label=random",5.1651,14.6192,5.3146,11.6167,9.5600,4.2820
"BINARY_LENGTH=96,scenario_label=clustered",5.7947,75.6200,5.3160,11.8826,39.8396,6.5693
"BINARY_LENGTH=96,scenario_label=long-prefix",5.1586,90.5575,5.3166,11.6154,9.5289,4.2677
"BINARY_LENGTH=96,scenario_label=medium-prefix",5.1649,62.6200,5.3127,11.6152,9.5608,4.2854
"BINARY_LENGTH=96,scenario_label=random",5.1659,14.6216,5.3137,11.6148,9.5621,4.2841
