scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",982.1990,512.5033,204.0706,1020.6197,504.3755,186.4510
"BINARY_LENGTH=128,scenario_label=long-prefix",315.7807,689.2740,204.1520,483.0133,134.7545,112.1570
"BINARY_LENGTH=128,scenario_label=medium-prefix",673.1312,523.2726,204.1159,848.5438,210.7744,145.6356
"BINARY_LENGTH=128,scenario_label=random",1275.0337,240.5065,204.0845,1464.2992,338.7678,197.4702
"BINARY_LENGTH=160,scenario_label=clustered",1360.0406,547.4579,236.2427,1392.0882,568.5009,218.9024
"BINARY_LENGTH=160,scenario_label=long-prefix",402.0981,839.2222,236.2893,604.5329,146.7847,125.3851
"BINARY_LENGTH=160,scenario_label=medium-prefix",853.3189,628.0942,236.0726,1066.4410,242.7456,164.5822
"BINARY_LENGTH=160,scenario_label=random",1605.7684,275.4453,236.3465,1836.3664,402.7461,229.4457
"BINARY_LENGTH=64,scenario_label=clustered",316.1847,353.7661,140.2000,345.9097,320.3538,85.9261
"BINARY_LENGTH=64,scenario_label=long-prefix",134.0361,351.8862,140.2729,240.3987,94.8642,63.4221
"BINARY_LENGTH=64,scenario_label=medium-prefix",312.7904,312.6708,140.1243,412.9940,146.7688,107.2572
"BINARY_LENGTH=64,scenario_label=random",613.6720,170.5900,140.3809,720.8604,210.7291,133.3779
"BINARY_LENGTH=96,scenario_label=clustered",607.2203,477.7174,172.0430,639.8020,440.3576,154.5557
"BINARY_LENGTH=96,scenario_label=long-prefix",229.1099,537.0447,172.0944,361.4320,121.8865,90.2136
"BINARY_LENGTH=96,scenario_label=medium-prefix",492.9184,417.9108,172.1430,630.7213,178.7489,126.6472
"BINARY_LENGTH=96,scenario_label=random",944.3712,205.6458,172.0907,1092.4188,274.7617,165.4529
