scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",9268.7600,14889.6800,5947.5800,10075.1600,18655.2000,2775.3200
"BINARY_LENGTH=128,scenario_label=long-prefix",9279.4400,14521.1200,5971.5200,10041.2000,18219.2200,1893.8400
"BINARY_LENGTH=128,scenario_label=medium-prefix",9281.2400,14488.1400,5925.9200,10041.5600,18226.7200,1899.9200
"BINARY_LENGTH=128,scenario_label=random",9290.5200,14427.5400,5960.1200,10041.2800,18226.1400,1900.6000
"BINARY_LENGTH=160,scenario_label=clustered",9278.0800,14888.7800,5983.8800,10076.6800,18638.9400,2780.4200
"BINARY_LENGTH=160,scenario_label=long-prefix",9289.9600,14571.5000,5961.8600,10041.4000,18228.9400,1892.1200
"BINARY_LENGTH=160,scenario_label=medium-prefix",9282.5600,14500.8000,5961.1800,10041.3600,18215.3200,1893.5800
"BINARY_LENGTH=160,scenario_label=random",9291.4000,14423.5400,5998.0200,10041.1600,18217.7600,1896.5200
"BINARY_LENGTH=64,scenario_label=clustered",7999.0400,10938.3400,5947.3200,10075.0000,15381.5200,273.3200
"BINARY_LENGTH=64,scenario_label=long-prefix",8006.0400,10599.6600,5961.2400,10041.0400,14784.5400,513.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",9278.9600,14467.5800,5932.0600,10041.2800,18228.0600,1890.0000
"BINARY_LENGTH=64,scenario_label=random",9282.0400,14421.9600,5934.2400,10041.3200,18216.2600,1887.5600
"BINARY_LENGTH=96,scenario_label=clustered",9283.4000,14906.9400,5959.6800,10074.3200,18666.6400,2785.5800
"BINARY_LENGTH=96,scenario_label=long-prefix",9229.8400,14216.9600,5962.8800,10041.2400,17944.5000,1822.8000
"BINARY_LENGTH=96,scenario_label=medium-prefix",9280.5200,14474.3400,5937.4600,10041.5200,18220.3800,1904.3600
"BINARY_LENGTH=96,scenario_label=random",9286.2800,14426.7000,5943.4000,10041.5600,18220.6400,1897.6600
