scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",999.2724,1266.1711,833.1851,1785.1463,1435.5629,607.5256
"BINARY_LENGTH=128,scenario_label=long-prefix",990.2449,1492.7325,835.1302,1912.7243,545.8374,454.3445
"BINARY_LENGTH=128,scenario_label=medium-prefix",999.2794,1265.1045,831.6554,1795.3608,750.3807,541.8027
"BINARY_LENGTH=128,scenario_label=random",1014.6646,867.9756,835.2878,1597.6517,1095.7462,665.0683
"BINARY_LENGTH=160,scenario_label=clustered",1192.8123,1371.0696,985.9330,2085.7727,1611.0654,707.6643
"BINARY_LENGTH=160,scenario_label=long-prefix",1178.9471,1760.2080,983.9614,2293.6387,578.2157,515.3416
"BINARY_LENGTH=160,scenario_label=medium-prefix",1189.6963,1464.3949,982.9823,2145.3704,836.3491,609.4718
"BINARY_LENGTH=160,scenario_label=random",1207.4686,972.0023,987.7665,1898.2767,1267.5301,764.9368
"BINARY_LENGTH=64,scenario_label=clustered",514.9304,737.6049,534.8124,1147.6280,880.6116,227.2629
"BINARY_LENGTH=64,scenario_label=long-prefix",515.7371,722.9381,535.5382,1148.7489,398.6662,243.6642
"BINARY_LENGTH=64,scenario_label=medium-prefix",619.4738,862.1353,534.6522,1095.2743,578.4945,401.6291
"BINARY_LENGTH=64,scenario_label=random",627.3613,658.5140,534.8771,996.4399,750.2774,464.6820
"BINARY_LENGTH=96,scenario_label=clustered",806.7570,1163.2951,684.6310,1484.3823,1261.5612,507.7216
"BINARY_LENGTH=96,scenario_label=long-prefix",798.0239,1209.8805,685.0409,1531.7114,509.1661,360.4251
"BINARY_LENGTH=96,scenario_label=medium-prefix",809.7504,1063.2834,683.1608,1445.3073,664.3096,472.3701
"BINARY_LENGTH=96,scenario_label=random",821.1879,763.2505,683.9990,1297.0546,922.9278,565.0362
