scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",10992.8800,4891.6800,3990.2000,5.9600,0.0000,0.0000
"BINARY_LENGTH=128,scenario_label=long-prefix",10949.5200,4523.1200,4004.5000,0.0000,0.0000,0.0000
"BINARY_LENGTH=128,scenario_label=medium-prefix",10950.7200,4490.1400,3972.6600,0.0000,0.0000,0.0000
"BINARY_LENGTH=128,scenario_label=random",10948.7800,4429.5400,4009.4400,0.0000,0.0000,0.0000
"BINARY_LENGTH=160,scenario_label=clustered",10946.8600,4890.7800,3993.8600,5.6000,0.0000,0.0000
"BINARY_LENGTH=160,scenario_label=long-prefix",10983.4000,4573.5000,3963.7000,0.0000,0.0000,0.0000
"BINARY_LENGTH=160,scenario_label=medium-prefix",10989.2000,4502.8000,3979.0400,0.0000,0.0000,0.0000
"BINARY_LENGTH=160,scenario_label=random",10984.8000,4425.5400,3991.6000,0.0000,0.0000,0.0000
"BINARY_LENGTH=64,scenario_label=clustered",2481.4600,940.3400,3968.1600,5.4800,0.0000,0.0000
"BINARY_LENGTH=64,scenario_label=long-prefix",2472.4000,601.6600,3977.9400,0.0000,0.0000,0.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",10957.7200,4469.5800,3973.8000,0.0000,0.0000,0.0000
"BINARY_LENGTH=64,scenario_label=random",10961.9400,4423.9600,3944.4800,0.0000,0.0000,0.0000
"BINARY_LENGTH=96,scenario_label=clustered",10975.4400,4908.9400,4000.5000,5.6600,0.0000,0.0000
"BINARY_LENGTH=96,scenario_label=long-prefix",10740.4200,4218.9600,4001.0000,0.0000,0.0000,0.0000
"BINARY_LENGTH=96,scenario_label=medium-prefix",10982.2800,4476.3400,3975.3800,0.0000,0.0000,0.0000
"BINARY_LENGTH=96,scenario_label=random",11026.4200,4428.7000,3986.9200,0.0000,0.0000,0.0000
