scenario_point,SGCT
"BINARY_LENGTH=128,scenario_label=clustered",0.0000
"BINARY_LENGTH=128,scenario_label=long-prefix",113.6400
"BINARY_LENGTH=128,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=128,scenario_label=random",0.0000
"BINARY_LENGTH=160,scenario_label=clustered",0.0000
"BINARY_LENGTH=160,scenario_label=long-prefix",7.0200
"BINARY_LENGTH=160,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=160,scenario_label=random",0.0000
"BINARY_LENGTH=64,scenario_label=clustered",0.0000
"BINARY_LENGTH=64,scenario_label=long-prefix",0.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",6.9200
"BINARY_LENGTH=64,scenario_label=random",0.0000
"BINARY_LENGTH=96,scenario_label=clustered",1.3200
"BINARY_LENGTH=96,scenario_label=long-prefix",603.2000
"BINARY_LENGTH=96,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=96,scenario_label=random",0.0000
