scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"BINARY_LENGTH=128,scenario_label=clustered",SGCT,DRCT,total_protocol_time_ms,12150.655700,25238.846475,13088.190775,51.857326,1052.669193,0.000000,148.869905,1.000000,50
"BINARY_LENGTH=128,scenario_label=clustered",SGCT,LAPCT,total_protocol_time_ms,12150.655700,35664.415050,23513.759350,65.930590,2098.888894,0.000000,296.827714,1.000000,50
"BINARY_LENGTH=128,scenario_label=clustered",SGCT,DQTA(k_max=3),total_protocol_time_ms,12150.655700,19943.053700,7792.398000,39.073244,699.501383,0.000000,98.924434,1.000000,50
"BINARY_LENGTH=128,scenario_label=clustered",SGCT,EMDT,total_protocol_time_ms,12150.655700,16675.290350,4524.634650,27.133768,195.674504,0.000000,27.672554,1.000000,50
"BINARY_LENGTH=128,scenario_label=clustered",SGCT,NLHQT(n=2),total_protocol_time_ms,12150.655700,28653.658500,16503.002800,57.594749,695.908004,0.000000,98.416254,1.000000,50
"BINARY_LENGTH=128,scenario_label=long-prefix",SGCT,DRCT,total_protocol_time_ms,9038.286650,29691.498900,20653.212250,69.559345,1026.482935,0.000000,145.166609,1.000000,50
"BINARY_LENGTH=128,scenario_label=long-prefix",SGCT,LAPCT,total_protocol_time_ms,9038.286650,38221.495125,29183.208475,76.352870,2344.109276,0.000000,331.507113,1.000000,50
"BINARY_LENGTH=128,scenario_label=long-prefix",SGCT,DQTA(k_max=3),total_protocol_time_ms,9038.286650,19774.187675,10735.901025,54.292501,660.904106,0.000000,93.465955,1.000000,50
"BINARY_LENGTH=128,scenario_label=long-prefix",SGCT,EMDT,total_protocol_time_ms,9038.286650,16702.769150,7664.482500,45.887496,369.045639,0.000000,52.190935,1.000000,50
"BINARY_LENGTH=128,scenario_label=long-prefix",SGCT,NLHQT(n=2),total_protocol_time_ms,9038.286650,10907.229500,1868.942850,17.134900,189.645894,0.000000,26.819980,1.000000,50
