scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",25.5800,13.1800,47.0200,17.7800,20.4400,35.4200
"BINARY_LENGTH=128,scenario_label=long-prefix",27.3400,13.1600,46.9400,17.8400,21.2800,258.5000
"BINARY_LENGTH=128,scenario_label=medium-prefix",27.3800,12.9800,47.0800,17.8600,21.0400,258.7400
"BINARY_LENGTH=128,scenario_label=random",27.6000,13.0200,46.9200,17.6800,21.0800,258.3200
"BINARY_LENGTH=160,scenario_label=clustered",25.5000,13.3200,47.0600,17.7800,20.7000,34.9200
"BINARY_LENGTH=160,scenario_label=long-prefix",27.4000,13.1000,47.2400,17.7600,21.1000,258.3800
"BINARY_LENGTH=160,scenario_label=medium-prefix",27.4200,13.0400,47.0800,17.6600,21.1600,258.3400
"BINARY_LENGTH=160,scenario_label=random",27.3200,13.0000,46.5800,17.8600,21.1400,258.3000
"BINARY_LENGTH=64,scenario_label=clustered",25.8000,13.3200,46.7600,17.2400,20.0200,22.8400
"BINARY_LENGTH=64,scenario_label=long-prefix",28.1800,13.0200,46.5800,17.2800,20.8600,256.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",27.3400,13.1200,46.7600,17.8000,21.0200,258.1400
"BINARY_LENGTH=64,scenario_label=random",27.6000,13.1000,46.9000,17.8800,20.9600,258.3200
"BINARY_LENGTH=96,scenario_label=clustered",25.4800,13.3400,46.3800,17.9000,20.5200,34.9400
"BINARY_LENGTH=96,scenario_label=long-prefix",27.4600,13.0400,46.7200,17.8400,21.0200,259.5800
"BINARY_LENGTH=96,scenario_label=medium-prefix",27.2000,13.0000,46.6000,17.7200,21.2200,258.3400
"BINARY_LENGTH=96,scenario_label=random",27.4400,12.9400,46.9400,17.8000,20.8800,258.4400
