scenario_point,SGCT
"BINARY_LENGTH=128,scenario_label=clustered",32827.9200
"BINARY_LENGTH=128,scenario_label=long-prefix",21189.1200
"BINARY_LENGTH=128,scenario_label=medium-prefix",21420.1600
"BINARY_LENGTH=128,scenario_label=random",21419.4800
"BINARY_LENGTH=160,scenario_label=clustered",32989.2200
"BINARY_LENGTH=160,scenario_label=long-prefix",21400.1600
"BINARY_LENGTH=160,scenario_label=medium-prefix",21415.1600
"BINARY_LENGTH=160,scenario_label=random",21416.8000
"BINARY_LENGTH=64,scenario_label=clustered",30399.8600
"BINARY_LENGTH=64,scenario_label=long-prefix",20000.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",21399.4600
"BINARY_LENGTH=64,scenario_label=random",21407.5400
"BINARY_LENGTH=96,scenario_label=clustered",32840.2800
"BINARY_LENGTH=96,scenario_label=long-prefix",20114.6800
"BINARY_LENGTH=96,scenario_label=medium-prefix",21425.1800
"BINARY_LENGTH=96,scenario_label=random",21418.5200
