scenario_point,SGCT
"BINARY_LENGTH=128,scenario_label=clustered",10000.0000
"BINARY_LENGTH=128,scenario_label=long-prefix",9772.6400
"BINARY_LENGTH=128,scenario_label=medium-prefix",10000.0000
"BINARY_LENGTH=128,scenario_label=random",10000.0000
"BINARY_LENGTH=160,scenario_label=clustered",10000.0000
"BINARY_LENGTH=160,scenario_label=long-prefix",9985.9600
"BINARY_LENGTH=160,scenario_label=medium-prefix",10000.0000
"BINARY_LENGTH=160,scenario_label=random",10000.0000
"BINARY_LENGTH=64,scenario_label=clustered",10000.0000
"BINARY_LENGTH=64,scenario_label=long-prefix",10000.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",9986.1600
"BINARY_LENGTH=64,scenario_label=random",10000.0000
"BINARY_LENGTH=96,scenario_label=clustered",9997.3600
"BINARY_LENGTH=96,scenario_label=long-prefix",8776.2200
"BINARY_LENGTH=96,scenario_label=medium-prefix",10000.0000
"BINARY_LENGTH=96,scenario_label=random",10000.0000
