scenario_point,SGCT
"BINARY_LENGTH=128,scenario_label=clustered",0.0000
"BINARY_LENGTH=128,scenario_label=long-prefix",0.0000
"BINARY_LENGTH=128,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=128,scenario_label=random",0.0000
"BINARY_LENGTH=160,scenario_label=clustered",0.0000
"BINARY_LENGTH=160,scenario_label=long-prefix",0.0000
"BINARY_LENGTH=160,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=160,scenario_label=random",0.0000
"BINARY_LENGTH=64,scenario_label=clustered",0.0000
"BINARY_LENGTH=64,scenario_label=long-prefix",0.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=64,scenario_label=random",0.0000
"BINARY_LENGTH=96,scenario_label=clustered",0.0000
"BINARY_LENGTH=96,scenario_label=long-prefix",0.0000
"BINARY_LENGTH=96,scenario_label=medium-prefix",0.0000
"BINARY_LENGTH=96,scenario_label=random",0.0000
