scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_protocol_time_ms,19943.053700,91.456153,20073.569437,25.350352,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),throughput_tags_per_sec,501.438068,2.301848,504.919824,0.638040,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),system_efficiency,0.330463,0.002023,0.333960,0.000561,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),collision_slots,9268.760000,54.261107,9346.300000,15.040412,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),idle_slots,10992.880000,168.460695,11265.550000,46.694922,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_energy_uj,9992724.272933,56867.021202,10083689.177925,15762.734077,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),energy_per_tag_uj,999.272427,5.686702,1008.368917,1.576273,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_reader_tx_energy_uj,1804.259360,10.823209,1819.927500,3.000040,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_tag_tx_energy_uj,4459.930120,242.427779,4744.135925,67.197552,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_listening_energy_uj,9986460.083453,56849.008978,10077518.420675,15757.741343,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_transmission_energy_uj,6264.189480,243.258640,6559.584650,67.427855,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),total_bits,9821989.920000,485180.990662,10394871.550000,134485.309291,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),avg_tag_bits,891.986024,48.485556,948.827185,13.439510,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),avg_reader_bits,90.212968,0.541160,90.996375,0.150002,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),avg_total_bits,982.198992,48.518099,1039.487155,13.448531,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),avg_query_efficiency,1.078929,0.006325,1.089171,0.001753,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),peak_stack_depth,25.580000,0.970798,27.000000,0.269092,50
"BINARY_LENGTH=128,scenario_label=clustered",DQTA(k_max=3),avg_tag_responses,5.811276,0.198210,6.043860,0.054941,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_protocol_time_ms,25238.846475,131.083060,25424.109688,36.334370,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,throughput_tags_per_sec,396.225091,2.056958,398.835120,0.570160,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,system_efficiency,0.335792,0.001957,0.338472,0.000543,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,collision_slots,14889.680000,86.841972,15019.850000,24.071367,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,idle_slots,4891.680000,86.841972,5021.850000,24.071367,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_energy_uj,12661711.372343,75478.617070,12776054.515519,20921.605250,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,energy_per_tag_uj,1266.171137,7.547862,1277.605452,2.092161,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_reader_tx_energy_uj,3054.916480,18.628022,3081.801200,5.163424,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_tag_tx_energy_uj,1798.787180,1.128024,1800.546200,0.312672,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_listening_energy_uj,12656857.668683,75462.417413,12771180.191744,20917.114934,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_transmission_energy_uj,4853.703660,19.091523,4880.365975,5.291900,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,total_bits,5125032.600000,10394.764887,5139255.950000,2881.281826,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,avg_tag_bits,359.757436,0.225605,360.109240,0.062534,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,avg_reader_bits,152.745824,0.931401,154.090060,0.258171,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,avg_total_bits,512.503260,1.039476,513.925595,0.288128,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,avg_query_efficiency,0.671628,0.003915,0.676991,0.001085,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,peak_stack_depth,13.180000,0.873417,15.000000,0.242099,50
"BINARY_LENGTH=128,scenario_label=clustered",DRCT,avg_tag_responses,75.616166,0.019432,75.643545,0.005386,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_protocol_time_ms,16675.290350,158.287651,16896.943250,43.875098,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,throughput_tags_per_sec,599.742844,5.712286,609.320043,1.583365,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,system_efficiency,0.501657,0.007030,0.512919,0.001949,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,collision_slots,5947.580000,125.477877,6118.650000,34.780693,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,idle_slots,3990.200000,168.412637,4259.650000,46.681601,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_energy_uj,8331850.832015,87040.986983,8442999.376900,24126.530678,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,energy_per_tag_uj,833.185083,8.704099,844.299938,2.412653,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_reader_tx_energy_uj,487.689840,6.116649,497.347400,1.695449,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_tag_tx_energy_uj,898.430400,1.984091,901.534400,0.549962,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_listening_energy_uj,8330464.711775,87041.621554,8441613.760700,24126.706572,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_transmission_energy_uj,1386.120240,7.603815,1397.530600,2.107670,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,total_bits,2040705.720000,6447.310023,2050606.500000,1787.103162,50
"BINARY_LENGTH=128,scenario_label=clustered",EMDT,avg_tag_bits,179.686080,0.396818,180.306880,0.109992,50
