scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",0.3305,0.3358,0.5017,0.4980,0.3490,0.7828
"BINARY_LENGTH=128,scenario_label=long-prefix",0.3308,0.3443,0.5007,0.4990,0.3544,0.8408
"BINARY_LENGTH=128,scenario_label=medium-prefix",0.3308,0.3451,0.5026,0.4990,0.3543,0.8404
"BINARY_LENGTH=128,scenario_label=random",0.3307,0.3466,0.5008,0.4990,0.3543,0.8403
"BINARY_LENGTH=160,scenario_label=clustered",0.3309,0.3358,0.5006,0.4980,0.3492,0.7825
"BINARY_LENGTH=160,scenario_label=long-prefix",0.3303,0.3431,0.5020,0.4990,0.3543,0.8409
"BINARY_LENGTH=160,scenario_label=medium-prefix",0.3304,0.3448,0.5016,0.4990,0.3544,0.8408
"BINARY_LENGTH=160,scenario_label=random",0.3303,0.3466,0.5003,0.4990,0.3544,0.8406
"BINARY_LENGTH=64,scenario_label=clustered",0.4883,0.4571,0.5022,0.4980,0.3941,0.9734
"BINARY_LENGTH=64,scenario_label=long-prefix",0.4883,0.4717,0.5016,0.4990,0.4035,0.9512
"BINARY_LENGTH=64,scenario_label=medium-prefix",0.3307,0.3456,0.5024,0.4990,0.3543,0.8411
"BINARY_LENGTH=64,scenario_label=random",0.3307,0.3467,0.5031,0.4990,0.3544,0.8412
"BINARY_LENGTH=96,scenario_label=clustered",0.3305,0.3354,0.5011,0.4980,0.3488,0.7821
"BINARY_LENGTH=96,scenario_label=long-prefix",0.3337,0.3517,0.5010,0.4990,0.3579,0.8458
"BINARY_LENGTH=96,scenario_label=medium-prefix",0.3305,0.3454,0.5023,0.4990,0.3544,0.8400
"BINARY_LENGTH=96,scenario_label=random",0.3299,0.3466,0.5018,0.4990,0.3544,0.8405
