scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",501.4381,396.2251,599.7428,280.3916,349.0084,823.0356
"BINARY_LENGTH=128,scenario_label=long-prefix",505.7251,336.8090,598.7333,261.6329,916.8306,1106.5083
"BINARY_LENGTH=128,scenario_label=medium-prefix",501.3119,396.4454,600.7469,278.7723,666.5948,928.3653
"BINARY_LENGTH=128,scenario_label=random",493.9267,577.2765,599.1948,313.3380,456.7537,754.6084
"BINARY_LENGTH=160,scenario_label=clustered",419.9814,365.9318,507.4466,239.9782,311.1296,706.3210
"BINARY_LENGTH=160,scenario_label=long-prefix",424.8373,285.6602,508.3707,218.1837,865.2447,975.4346
"BINARY_LENGTH=160,scenario_label=medium-prefix",421.2839,342.5642,508.1367,233.2898,598.1720,823.7768
"BINARY_LENGTH=160,scenario_label=random",414.8099,515.1549,507.0512,263.7237,394.7581,655.8162
"BINARY_LENGTH=64,scenario_label=clustered",972.1425,680.9966,935.0412,436.0823,569.3731,2207.4736
"BINARY_LENGTH=64,scenario_label=long-prefix",971.4067,694.8606,934.0403,435.6230,1255.0726,2075.6470
"BINARY_LENGTH=64,scenario_label=medium-prefix",807.9799,582.2292,936.0943,456.9326,865.4392,1252.0574
"BINARY_LENGTH=64,scenario_label=random",798.5182,761.2062,935.5031,502.3528,666.9410,1082.2510
"BINARY_LENGTH=96,scenario_label=clustered",620.7580,431.5653,730.3195,337.1814,397.2664,983.8504
"BINARY_LENGTH=96,scenario_label=long-prefix",627.1849,415.2733,730.0800,326.7159,982.9958,1397.8232
"BINARY_LENGTH=96,scenario_label=medium-prefix",618.6628,471.8885,731.3839,346.2821,753.3117,1064.0674
"BINARY_LENGTH=96,scenario_label=random",610.2044,656.4553,731.0628,385.9443,542.1231,888.9648
