scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",9821989.9200,5125032.6000,2040705.7200,10206196.8800,5043755.1000,1864510.4600
"BINARY_LENGTH=128,scenario_label=long-prefix",3157807.2600,6892740.0000,2041520.4400,4830132.6600,1347544.9600,1121570.0200
"BINARY_LENGTH=128,scenario_label=medium-prefix",6731311.9400,5232726.1000,2041159.1200,8485437.9600,2107744.2400,1456355.7400
"BINARY_LENGTH=128,scenario_label=random",12750337.2000,2405065.0000,2040844.6000,14642991.6000,3387678.0400,1974702.3200
"BINARY_LENGTH=160,scenario_label=clustered",13600406.0400,5474578.5200,2362426.8000,13920881.6800,5685008.6800,2189024.4200
"BINARY_LENGTH=160,scenario_label=long-prefix",4020981.4200,8392222.0200,2362892.8400,6045328.9600,1467847.3200,1253850.7200
"BINARY_LENGTH=160,scenario_label=medium-prefix",8533188.9200,6280942.3400,2360726.2400,10664409.6400,2427455.6800,1645821.9200
"BINARY_LENGTH=160,scenario_label=random",16057684.0800,2754452.6200,2363465.4400,18363664.3600,4027461.0800,2294456.7200
"BINARY_LENGTH=64,scenario_label=clustered",3161847.0000,3537660.8000,1401999.6800,3459097.1400,3203537.9400,859261.3800
"BINARY_LENGTH=64,scenario_label=long-prefix",1340360.7200,3518862.2000,1402728.8000,2403986.8000,948641.9600,634221.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",3127904.4400,3126708.3600,1401243.2800,4129939.7600,1467687.9200,1072572.4400
"BINARY_LENGTH=64,scenario_label=random",6136720.1800,1705899.9200,1403808.5600,7208603.8200,2107290.9600,1333779.4000
"BINARY_LENGTH=96,scenario_label=clustered",6072202.8400,4777173.6200,1720430.4800,6398019.6200,4403576.0400,1545556.9400
"BINARY_LENGTH=96,scenario_label=long-prefix",2291098.7200,5370447.0800,1720943.8400,3614319.6400,1218865.1600,902136.0800
"BINARY_LENGTH=96,scenario_label=medium-prefix",4929184.2800,4179108.4600,1721429.5200,6307213.2200,1787488.6800,1266471.7800
"BINARY_LENGTH=96,scenario_label=random",9443711.7600,2056458.3800,1720906.7200,10924188.2400,2747616.9600,1654529.4000
