scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",9992724.2729,12661711.3723,8331850.8320,17851462.5333,14355628.6294,6075255.9376
"BINARY_LENGTH=128,scenario_label=long-prefix",9902449.0044,14927325.0936,8351302.2730,19127242.5257,5458373.7585,4543445.4512
"BINARY_LENGTH=128,scenario_label=medium-prefix",9992793.8747,12651044.5562,8316553.5699,17953607.9246,7503807.2750,5418027.2915
"BINARY_LENGTH=128,scenario_label=random",10146645.6576,8679755.8206,8352878.1639,15976517.3528,10957461.6336,6650683.2179
"BINARY_LENGTH=160,scenario_label=clustered",11928123.4260,13710696.2483,9859329.9784,20857727.1479,16110654.0694,7076643.3551
"BINARY_LENGTH=160,scenario_label=long-prefix",11789471.4236,17602079.9303,9839614.3261,22936387.2240,5782156.8764,5153415.7334
"BINARY_LENGTH=160,scenario_label=medium-prefix",11896962.7887,14643948.9210,9829822.7058,21453703.9967,8363490.9286,6094717.6409
"BINARY_LENGTH=160,scenario_label=random",12074686.4059,9720023.3370,9877664.8012,18982767.3671,12675301.1804,7649368.0433
"BINARY_LENGTH=64,scenario_label=clustered",5149304.0168,7376048.8335,5348124.0398,11476279.7188,8806115.9885,2272628.5137
"BINARY_LENGTH=64,scenario_label=long-prefix",5157370.7163,7229380.9677,5355381.7506,11487488.6668,3986661.8361,2436642.2857
"BINARY_LENGTH=64,scenario_label=medium-prefix",6194737.5327,8621353.3565,5346521.5220,10952742.9977,5784944.8439,4016291.2214
"BINARY_LENGTH=64,scenario_label=random",6273613.1339,6585139.8215,5348771.1595,9964398.7987,7502773.8934,4646819.8098
"BINARY_LENGTH=96,scenario_label=clustered",8067570.2603,11632950.5451,6846309.6396,14843823.4251,12615611.9390,5077215.7269
"BINARY_LENGTH=96,scenario_label=long-prefix",7980239.2840,12098804.8379,6850408.9498,15317114.2523,5091661.2961,3604251.3155
"BINARY_LENGTH=96,scenario_label=medium-prefix",8097503.9187,10632833.5386,6831607.6581,14453072.5758,6643096.3440,4723700.7299
"BINARY_LENGTH=96,scenario_label=random",8211878.7926,7632505.0631,6839990.0722,12970545.6134,9229277.5664,5650361.5598
